"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,3,5e-04,1,1877.109619,0.030012004,3173.584229,77.05999756,0.442405105,1390.719604,0.029585799,435.9115295,60.41999817,0.052696876,1655.449341,0.029815147,1111.414307,86.66999817,0.076218106,1998.37462681878,1660.29507058422,1398.67948542861,1921.91065573983,224.1499939
1,3,0.0015,2,1168.448853,0.030012004,316.7489014,341.2999878,0.187692925,1219.479736,0.029585799,328.0335388,241.6999969,0.162551507,884.3747559,0.029815147,135.5966644,378.8399963,0.183291227,264.321459865798,1069.38407350069,1052.67943495298,1086.0887120484,961.839981
1,3,0.0025,3,1157.678833,0.030012004,96.77945709,639.5599976,0.105225809,1127.418701,0.029585799,178.9488678,509,0.270615161,790.970459,0.029815147,69.21390533,708.539978,0.115946285,117.591307916951,1009.47466841513,1004.12639439833,1014.82294243193,1857.0999756
1,3,0.0035,4,1061.594482,0.030012004,70.34791565,832.5199585,0.094453141,979.0812988,0.029585799,70.01268768,789.7699585,0.107131332,922.5861816,0.029815147,61.56103134,983.5899658,0.124552414,67.0598300681385,984.118308197628,981.543521105015,986.69309529024,2605.8798828
1,3,0.0045,5,1047.7948,0.030012004,60.32322311,1070.119995,0.102390096,894.0570068,0.029585799,52.07465744,1125.579956,0.119167894,966.2163696,0.029815147,54.98962021,1215.109985,0.125948146,55.8016217596169,967.998227059191,966.125501522442,969.87095259594,3410.809936
1,3,0.0055,6,914.1900024,0.030012004,44.85149002,1368.939941,0.106476173,853.2649536,0.029585799,48.75127029,1419.669922,0.163181916,952.0031738,0.029815147,45.78218842,1543.059937,0.138237789,46.4902195566872,907.692399697345,906.307909143634,909.076890251057,4331.6698
1,3,0.0065,7,757.8887329,0.030012004,47.23020554,1660.02002,0.252414972,748.7283936,0.029585799,34.05768204,1628.289917,0.11815948,814.3259888,0.029815147,37.72947311,1884.609985,0.177911416,39.9946086117501,775.566665142434,774.476757633316,776.656572651551,5172.919922
1,3,0.0075,8,644.0366821,0.030012004,26.88405418,1866.519897,0.140057653,668.0137329,0.029585799,28.01381302,1825.48999,0.130022407,675.8150024,0.029815147,26.93759918,2172.219971,0.14977707,27.2603374779314,663.271836750655,662.574115730757,663.969557770552,5864.229858
1,3,0.0085,9,569.2746582,0.030012004,23.13987541,1906.329956,0.137664378,621.9974365,0.029585799,25.4019661,1911.719971,0.133731738,604.079895,0.029815147,24.3357563,2253.449951,0.18161796,24.3125588916917,598.793401667925,598.18184212599,599.404961209859,6071.499878
1,3,0.009500001,10,553.5886841,0.030012004,23.72000504,1780.859985,0.159512863,582.6236572,0.029585799,30.40292549,1849.569946,0.243673042,558.0294189,0.029815147,21.42621422,2140.459961,0.152593061,25.301170215871,564.541488580488,563.888695885714,565.194281275261,5770.889892
1,3,0.010500001,11,534.9136353,0.030012004,24.32577133,1534.48999,0.159684733,561.8322754,0.029585799,23.44686127,1687.069946,0.136712179,547.9677124,0.029815147,23.506464,1834.23999,0.171011731,23.7384431937432,548.63212494841,547.977770038357,549.286479858463,5055.799926
1,3,0.011500001,12,560.3685913,0.030012004,27.49405479,1260.780029,0.150648564,569.949707,0.029585799,27.04084015,1411.539917,0.15315263,559.1741943,0.029815147,24.99356842,1479.880005,0.148208484,26.4715286360804,563.19999709942,562.394811567069,564.00518263177,4152.199951
