"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,4,5e-04,1,1548.505737,0.030358227,694.0606689,39.02000046,0.095114775,1374.770874,0.030184124,2100.137451,33.43999863,0.394652128,1516.114136,0.030404378,1490.570801,38.27999878,0.359188646,1505.58295140652,1484.84631706989,1204.42662744379,1765.26600669599,110.73999787
1,4,0.0015,2,932.1887207,0.030358227,269.3248901,89.66999817,0.151765212,1128.570801,0.030184124,499.1833191,87.75999451,0.269994468,817.8980103,0.030404378,453.0127258,99.36999512,0.320364475,419.739839616631,953.422186066074,903.973673736709,1002.87069839544,276.7999878
1,4,0.0025,3,880.710083,0.030358227,160.3599091,163.9299927,0.141831324,965.5667114,0.030184124,181.721756,149.1900024,0.116465524,801.87677,0.030404378,134.3240356,174.8699951,0.098993607,158.737423536943,878.403026531663,864.318899241432,892.487153821893,487.9899902
1,4,0.0035,4,955.4286499,0.030358227,122.3003769,318.1399841,0.149717569,874.5993652,0.030184124,116.8349915,264.8800049,0.099303626,792.2623291,0.030404378,103.5836182,292.75,0.11225342,114.6688586716,876.43872947513,868.844101023868,884.033357926392,875.769989
1,4,0.0045,5,788.1712036,0.030358227,63.99195862,741.7000122,0.198942274,723.8546143,0.030184124,154.0707703,574.7299805,0.400239617,860.833313,0.030404378,78.40387726,612.7699585,0.207835525,102.944115334078,792.090178220874,787.496411089705,796.683945352044,1929.1999512
1,4,0.0055,6,685.9492798,0.030358227,42.58275604,1492.719971,0.290804267,592.6727905,0.030184124,39.02826691,1126.189941,0.229941353,751.3302002,0.030404378,47.97929382,1154.280029,0.223050207,43.3152867613425,678.109983674278,676.727872649398,679.492094699157,3773.189941
1,4,0.0065,7,599.3209229,0.030358227,28.73440552,2196.869873,0.293735534,564.4151611,0.030184124,31.71114159,1764.709961,0.28563267,640.4360352,0.030404378,31.72026253,1775.549927,0.243037075,30.6083593030857,601.308569959271,600.516526912431,602.100613006112,5737.129761
1,4,0.0075,8,551.0585938,0.030358227,23.10336685,2573.310059,0.275612086,537.9055786,0.030184124,40.37128067,2116.719971,0.200070441,621.7653198,0.030404378,337.0991211,2167.070068,0.806410015,191.351060030225,569.344046509775,564.814896562445,573.873196457104,6857.100098
1,4,0.0085,9,506.2597961,0.030358227,20.38765526,2561.659912,0.262761384,524.9765625,0.030184124,22.19201851,2312.070068,0.245598808,526.6916504,0.030404378,22.89135551,2302.339844,0.25764066,21.7984932470981,518.845452290639,518.341093936479,519.349810644798,7176.069824
1,4,0.009500001,10,497.5656128,0.030358227,21.14162445,2292.099854,0.261311978,515.0897217,0.030184124,21.8071804,2190.409912,0.240638778,498.5764771,0.030404378,20.89224434,2203.98999,0.244233757,21.2809082375666,503.639480759919,503.129390754831,504.149570765008,6686.499756
1,4,0.010500001,11,487.6165161,0.030358227,21.85366058,1919.269897,0.235576689,505.1536865,0.030184124,23.20960236,1901.679932,0.236334384,512.9612427,0.030404378,25.20851135,1892.289917,0.26115045,23.456653653903,501.848310882457,501.240062584523,502.45655918039,5713.239746
1,4,0.011500001,12,505.0532837,0.030358227,30.30800438,1522.949951,0.307388187,533.3345337,0.030184124,30.36315537,1610.890015,0.281666547,514.9118042,0.030404378,25.12828064,1532.76001,0.220921189,28.7300802481639,518.053911465161,517.22959756521,518.878225365112,4666.599976
1,4,0.012500001,13,517.8375244,0.030358227,28.24128342,1160.089966,0.20760861,543.2401733,0.030184124,27.87858772,1278.099976,0.208730757,534.0841064,0.030404378,28.84550858,1161.969971,0.200038612,28.3103555010262,532.09943681656,531.174652409555,533.024221223565,3600.159913
1,4,0.013500001,14,552.3996582,0.030358227,34.88868713,875.0599976,0.213316351,578.7658081,0.030184124,33.56802368,994.3899536,0.206275806,584.9624634,0.030404378,47.27247238,870.9599609,0.287713736,38.8299719891421,572.31607066022,570.862234777127,573.769906543312,2740.4099121
1,4,0.014500001,15,607.9699707,0.030358227,44.54188156,647.6799927,0.210887581,605.50354,0.030184124,39.81908798,759.1399536,0.197706536,604.1734619,0.030404378,42.17518616,639.0700073,0.182452023,42.0953603472779,605.868879687689,604.044777483908,607.69298189147,2045.8899536
1,4,0.015500001,16,646.571106,0.030358227,52.88623047,469.4199829,0.178448468,653.425354,0.030184124,60.01422119,568.3499756,0.261223763,654.3786011,0.030404378,58.8031311,465.1900024,0.219816938,57.4966054542009,651.579609582062,648.672746535817,654.486472628307,1502.9599609
1,4,0.016500001,17,745.0800781,0.030358227,204.8726807,343.6499939,0.428474575,694.9277344,0.030184124,63.72259903,404.3899841,0.210796848,694.2362061,0.030404378,67.64082336,328.769989,0.182645202,127.731672463997,710.722070797512,703.092762996555,718.351378598468,1076.809967
1,4,0.017500001,18,731.7648926,0.030358227,83.01892853,242.2899933,0.18343088,802.6992188,0.030184124,274.4988098,290.7900085,0.539014697,761.4693604,0.030404378,110.7341156,235.4700012,0.25677529,185.608692604487,767.704654852725,754.582102359736,780.827207345714,768.550003
1,4,0.018500001,19,805.4046631,0.030358227,122.0677338,177.2299957,0.229754478,777.2492065,0.030184124,96.66733551,206.8899994,0.163030326,795.1099854,0.030404378,107.8338242,166.9799957,0.157489464,108.731323098272,791.715518184196,782.637406063804,800.793630304587,551.0999908
1,4,0.019500001,20,808.0098267,0.030358227,148.4368744,124.9399948,0.214149475,944.5655518,0.030184124,1027.099976,144.7599945,0.481030554,1468.734009,0.030404378,7736.415039,118.3999939,0.496101528,4318.23738512734,1060.51575148851,630.889537450227,1490.1419655268,388.0999832
1,4,0.020500001,21,800.4278564,0.030358227,145.2126923,85.36000061,0.156685576,901.2178955,0.030184124,221.4496613,100.3499985,0.274661332,884.050354,0.030404378,190.2101135,80.93000031,0.183728412,190.253863487599,863.741121723705,840.904760382506,886.577483064904,266.63999942
1,4,0.021500001,22,853.1990356,0.030358227,250.2794495,59.94999695,0.252142549,931.5997314,0.030184124,228.0877228,70.19999695,0.222087383,893.6883545,0.030404378,324.5765076,57.80999756,0.288813442,267.929777286192,894.933534372428,856.62951519775,933.237553547106,187.95999146
1,4,0.022500001,23,996.2571411,0.030358227,768.6159058,42.05999756,0.411438137,940.432312,0.030184124,271.6965332,46.79999924,0.194979951,1000.99176,0.030404378,333.3019409,41.75999832,0.136537999,502.040804407516,977.76928034082,891.671836756488,1063.86672392515,130.61999512
1,4,0.023500001,24,996.4290161,0.030358227,693.2909546,29.39999962,0.360167205,960.9518433,0.030184124,449.0815125,31.62999916,0.248334289,1248.821655,0.030404378,2798.821289,27.59000015,0.461152554,1632.27039028835,1062.34382167183,722.497711326127,1402.18993201753,88.61999893
1,4,0.024500001,25,1081.657837,0.030358227,454.3848877,19.26000023,0.040989034,931.2436523,0.030184124,446.2518005,21.94999886,0.250139028,944.8235474,0.030404378,386.6766663,20.29999924,0.097131416,430.184267492944,982.82305692143,875.315810791492,1090.33030305137,61.50999833
1,4,0.025500001,26,1100.088379,0.030358227,1002.793274,12.92999935,0.291612923,806.5335083,0.030184124,507.2498474,14.88999939,0.256620109,1676.088989,0.030404378,1602.160889,12.84999943,0.270212174,1104.91177496092,1174.60462687042,835.02111389947,1514.18813984136,40.66999817
