"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,2,5e-04,1,0.056094963,0.001047708,0.000562007,22177.85938,0.004653883,0.057157259,0.001089068,0.000747839,13007.34961,0.004036361,0.050456584,0.001025421,0.000586426,16401.67969,0.003795982,0.000621403063709418,0.0545701330891391,0.0545647706818862,0.054575495496392,51586.88868
1,2,0.0015,2,0.053159576,0.002727087,0.000571291,19609.60938,0.011265136,0.053978384,0.002783677,0.000706357,13270.67969,0.01196136,0.053651117,0.002912656,0.00074657,11754.34961,0.012998267,0.00066220107896819,0.0535324676363944,0.053526324220123,0.0535386110526659,44634.63868
1,2,0.0025,3,0.04235151,0.004878112,0.000449766,20272.25,0.027244322,0.044070311,0.004942012,0.000544844,14675.87012,0.019111607,0.045229569,0.005183664,0.000584869,13587,0.025282925,0.000519628779509317,0.0436769231794065,0.0436723002079359,0.0436815461508771,48535.12012
1,2,0.0035,4,0.033348806,0.007436077,0.000336183,22551.33984,0.048710831,0.036133662,0.007550561,0.0009493,17333.75977,0.432099819,0.037069853,0.0076752,0.000426671,17178.25977,0.04070086,0.000610908874446289,0.0353149211761728,0.0353099086824975,0.0353199336698482,57063.35938
1,2,0.0045,5,0.026756067,0.010132755,0.000271275,25186.66992,0.099930197,0.030405806,0.010349098,0.000318328,20464.90039,0.054259632,0.029386513,0.010210472,0.000307853,20470.69922,0.063053459,0.000297883450367305,0.028700020449853,0.0286977499129169,0.028702290986789,66122.26953
1,2,0.0055,6,0.022484912,0.012798082,0.000206664,26857.07031,0.084624298,0.026695153,0.013019459,0.000264637,22968.68945,0.075064659,0.02397953,0.012712802,0.000238083,22935.60938,0.086505808,0.000236092504594382,0.0242850938026122,0.0242833783139997,0.0242868092912246,72761.36914
1,2,0.0065,7,0.020266494,0.015142897,0.000181611,26990.85938,0.093086086,0.024248131,0.015289,0.000231024,24191.90039,0.084311754,0.020654554,0.015075754,0.000198026,24065,0.100987092,0.000203790781712295,0.021670682376054,0.0216692262672789,0.0216721384848291,75247.75977
1,2,0.0075,8,0.019528084,0.017239155,0.00017496,25729.32031,0.098843269,0.022543168,0.017006723,0.000215509,23737.33984,0.088727057,0.019056033,0.01718997,0.000178969,23825.17969,0.107148267,0.000190263458077308,0.020351141161452,0.0203497636867065,0.0203525186361975,73291.83984
1,2,0.0085,9,0.01972113,0.019062799,0.000176355,23819.54883,0.10006433,0.022076557,0.018805465,0.000204961,23168.41992,0.094793975,0.01882267,0.019058062,0.000173233,22721.2793,0.103965178,0.000185393316933053,0.020211127556745,0.0202097512826134,0.0202125038308765,69709.24805
1,2,0.009500001,10,0.02048067,0.020698329,0.000182273,21939.90039,0.097755782,0.0219719,0.020282785,0.000201931,21936.32031,0.095899053,0.019372063,0.020759288,0.00017453,21419.98047,0.099173047,0.000186693559676244,0.020617979039214,0.0206165470443838,0.0206194110340442,65296.20117
1,2,0.010500001,11,0.021229081,0.022204651,0.000185992,20660.91016,0.096337475,0.022070972,0.021592652,0.000199175,20937.85938,0.09598688,0.020086432,0.022295162,0.000176527,20405.58984,0.096372671,0.00018755918571534,0.0211373288794929,0.0211358525499941,0.0211388052089917,62004.35938
1,2,0.011500001,12,0.021643734,0.023484768,0.000185866,20005.78906,0.095747449,0.022008074,0.022832019,0.000193431,20355.32031,0.095281184,0.020498823,0.02368073,0.000175413,19867.69922,0.094048336,0.000185122088040713,0.0213891965064181,0.0213877180375797,0.0213906749752565,60228.80859
1,2,0.012500001,13,0.021613807,0.024517924,0.00018184,19839.16016,0.098534152,0.021724045,0.023899976,0.000186376,20129.75,0.097087205,0.020568645,0.024733979,0.000172683,19719.33984,0.097425565,0.000180434359442252,0.0213056920647262,0.0213042445236695,0.021307139605783,59688.25
1,2,0.013500001,14,0.021386739,0.025216995,0.000178855,19793.46875,0.105429694,0.021320343,0.024681391,0.000179306,20061.24023,0.100813523,0.020471115,0.025463276,0.000169591,19668.18945,0.101471499,0.00017600261784974,0.0210618110661558,0.0210603971190493,0.0210632250132623,59522.89843
1,2,0.014500001,15,0.021157051,0.025635224,0.000176928,19578.32031,0.111909539,0.02094239,0.025241297,0.000175069,19864.86914,0.107012808,0.020406287,0.025935132,0.000169198,19372.08008,0.107695416,0.000173785082823919,0.0208372688557722,0.0208358643500246,0.0208386733615197,58815.26953
