"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,5e-04,1,0.57697016,0.00061236,0.002439218,29522.32031,0.02231371,0.576371968,0.000633157,0.002433888,29444.10938,0.019901846,0.577855587,0.000620751,0.002443959,29382.95898,0.021543924,0.00243902188820822,0.577065273669365,0.57704886233405,0.57708168500468,88349.38867
1,1,0.0015,2,0.499397963,0.001145344,0.002078187,32263.75977,0.042837955,0.50222218,0.001186753,0.002092803,32135.5293,0.041951779,0.499522358,0.001157735,0.002070091,32175.78906,0.041281294,0.00208037437185639,0.500379170753263,0.500365782036425,0.500392559470102,96575.07813
1,1,0.0025,3,0.412265986,0.001814208,0.001808937,31936.76953,0.083152808,0.412640512,0.001879301,0.001802141,31841.38867,0.084095202,0.41415897,0.001845299,0.001812995,31791.80859,0.08433824,0.00180802820457156,0.413020478392818,0.413008781393108,0.413032175392528,95569.96679
1,1,0.0035,4,0.341230929,0.002662105,0.00157097,31652.34961,0.128413633,0.340329319,0.00274473,0.001563891,31550.06836,0.125467718,0.340316922,0.002682679,0.001561171,31634.51953,0.122864902,0.00156535180575762,0.340626101061243,0.340615934988952,0.340636267133535,94836.9375
1,1,0.0045,5,0.282952726,0.003682367,0.001396064,31101.68945,0.18424052,0.283357531,0.003810098,0.001394869,31283.66992,0.183244586,0.283703566,0.003735642,0.001403944,31250.22852,0.186249122,0.00139830044736877,0.283338559083318,0.283329419844596,0.28334769832204,93635.58789
1,1,0.0055,6,0.240446463,0.004982699,0.001285358,30509.46875,0.249301031,0.239529282,0.005121499,0.001280095,30537.70898,0.248426646,0.2388926,0.005022864,0.001279916,30576.86914,0.254174292,0.00128179025025535,0.239622215712826,0.239613746516029,0.239630684909623,91624.04687
1,1,0.0065,7,0.207698271,0.006559184,0.001209022,30128.29883,0.326335758,0.208175942,0.006770782,0.001216614,30061.01953,0.327796638,0.208393395,0.006648829,0.001230302,30096.83008,0.336948872,0.00121867527823757,0.20808903200578,0.208080920388839,0.208097143622721,90286.14844
1,1,0.0075,8,0.181577504,0.008325378,0.001157806,30445.33008,0.407402635,0.182039321,0.00858455,0.001164002,30475.91992,0.411194801,0.181442887,0.008399788,0.001158909,30524.61914,0.409001708,0.00116024224302686,0.181686477377897,0.181678803822668,0.181694150933126,91445.86914
1,1,0.0085,9,0.157837167,0.010062775,0.001093257,31441.47852,0.479252964,0.158074513,0.010441809,0.001082342,31534.89844,0.474154145,0.15928939,0.010254542,0.001097379,31562.79883,0.478002012,0.00109101077565969,0.158401175560101,0.158394078914299,0.158408272205902,94539.17579
1,1,0.009500001,10,0.136228263,0.011860112,0.001011121,32663.85938,0.532862604,0.136385813,0.012201799,0.00100052,32617.56836,0.525425434,0.137297764,0.012026868,0.001020231,32709.39844,0.533837974,0.00101066533253549,0.136637705738674,0.136631248532476,0.136644162944872,97990.82618
1,1,0.010500001,11,0.11612618,0.013549681,0.000929632,34047.98828,0.582019627,0.115125984,0.013894382,0.00091221,34021.26953,0.574920297,0.116617464,0.013684552,0.000929738,34147.75781,0.581523597,0.000923905482452606,0.115957404864605,0.115951625289105,0.115963184440106,102217.01562
1,1,0.011500001,12,0.096853778,0.015101031,0.000836754,36072.25781,0.625273109,0.095847994,0.01557014,0.000826198,36094.62109,0.624592125,0.097398661,0.015353476,0.000832885,36072.34766,0.62265712,0.000831955908204139,0.096699968850605,0.0966949113264485,0.0967050263747615,108239.22656
1,1,0.012500001,13,0.079388954,0.016738163,0.000730181,38746.14063,0.657792926,0.079224154,0.017323218,0.000727486,38693.01953,0.660317898,0.080065675,0.016933093,0.000731635,38586.26953,0.658219874,0.000729767827457071,0.079559050584316,0.0795547657097202,0.0795633354589119,116025.42969
1,1,0.013500001,14,0.06435132,0.01830676,0.000630015,41938.46875,0.690322518,0.064337768,0.019008957,0.000623966,42134.83984,0.689322293,0.064924046,0.018472038,0.000629096,42253.66797,0.688067317,0.000627695683891402,0.064538364474076,0.0645348323895587,0.0645418965585932,126326.97656
1,1,0.014500001,15,0.05172246,0.019879509,0.000531927,45825.60938,0.713319063,0.052267142,0.020670027,0.00053324,45848.94922,0.712397039,0.052523244,0.020180197,0.000534741,45794.1875,0.711015821,0.000533303566074973,0.0521708844728413,0.052168007720351,0.0521737612253316,137468.7461
1,1,0.015500001,16,0.041798558,0.021467382,0.000454394,49581.58984,0.736153185,0.042347312,0.022316825,0.000457752,49413.87891,0.735121131,0.042503394,0.021683915,0.000455236,49522.05859,0.732560515,0.000455794243532526,0.0422161584981132,0.0422137930687883,0.042218523927438,148517.52734
1,1,0.016500001,17,0.033979949,0.023104403,0.000391073,52679.58984,0.755609393,0.034353681,0.023869364,0.000395903,52611.57031,0.756549895,0.034587491,0.023418756,0.000398594,52191.58984,0.757585764,0.000395191390721698,0.0343061511413325,0.0343041594548512,0.0343081428278139,157482.74999
1,1,0.017500001,18,0.028147034,0.024567204,0.000339494,54337.12891,0.766309857,0.02831576,0.025393682,0.000348494,54254.25781,0.773822248,0.028583519,0.024799254,0.000346732,54123.98828,0.769979298,0.000344924457807754,0.0283484803164753,0.0283467701448745,0.0283501904880761,162715.375
1,1,0.018500001,19,0.023823103,0.025893016,0.000306329,54077.07813,0.780487955,0.023931528,0.026720764,0.000307172,54167.76953,0.780929267,0.024091927,0.026169663,0.000307199,53930.70703,0.778352559,0.000306900148060667,0.0239487138470655,0.0239471896735967,0.0239502380205342,162175.55469
1,1,0.019500001,20,0.020793114,0.026937379,0.000276706,51591.07031,0.780999422,0.020827377,0.02789411,0.000276779,51751.36719,0.781043351,0.02083776,0.027154569,0.000275491,51826.34766,0.780379117,0.000276325168991263,0.0208194530359565,0.0208180500663589,0.0208208560055542,155168.78516
1,1,0.020500001,21,0.01860767,0.027768072,0.000254965,47256.80859,0.774688721,0.018645128,0.02870548,0.000252572,47462.82031,0.771517038,0.018608324,0.028144475,0.000252459,47453.20703,0.772884846,0.000253332324810379,0.0186203932231723,0.0186190494923127,0.0186217369540318,142172.83593
1,1,0.021500001,22,0.017131673,0.028440556,0.000238633,41276.52734,0.758702338,0.017164379,0.029475439,0.000240441,41402,0.763503015,0.017067988,0.028755628,0.000234651,41702.46875,0.756914079,0.000237912063231202,0.0171212073504935,0.0171198581718944,0.0171225565290927,124380.99609
1,1,0.022500001,23,0.016192533,0.028958255,0.000234246,34487.96875,0.747092068,0.016231928,0.030059336,0.000229771,34555.78906,0.740163505,0.01613936,0.029321862,0.000229929,34827.03906,0.744196296,0.000231319071426404,0.0161878104711208,0.0161863749991917,0.01618924594305,103870.79687
1,1,0.023500001,24,0.015668379,0.029423259,0.000234261,27625.92969,0.726575136,0.015681833,0.030330516,0.000232878,27798.12891,0.727217615,0.015576122,0.029843312,0.000231837,27928.96875,0.727389395,0.000232989679101377,0.0156419534829715,0.0156403394738308,0.0156435674921122,83353.02735
1,1,0.024500001,25,0.015484634,0.029803814,0.000246727,21336.70898,0.714137673,0.015428069,0.030890832,0.000243738,21335.78906,0.71157229,0.015399463,0.030147515,0.000245141,21583.37891,0.716637075,0.000245204815208245,0.0154372432084045,0.0154353085577149,0.0154391778590941,64255.87695
1,1,0.025500001,26,0.015544902,0.030015543,0.00026505,15923.58008,0.695322633,0.015542891,0.031066163,0.000264343,15938.98926,0.697404504,0.015496103,0.030452658,0.000263224,16091.89941,0.697902739,0.000264203336768684,0.0155278582931669,0.0155254453130026,0.0155302712733313,47954.46875
1,1,0.026500001,27,0.01577666,0.030265804,0.000289673,11522.54004,0.675147414,0.015791124,0.031228306,0.000287023,11536.08008,0.675112605,0.01571947,0.030543013,0.000284175,11719.33008,0.675894439,0.000286950087703612,0.0157621861560241,0.0157591087530663,0.0157652635589818,34777.9502
1,1,0.027500001,28,0.016213432,0.030298868,0.000338441,8152.899902,0.678405702,0.016203942,0.031400919,0.000331539,8152.759766,0.675116599,0.016159756,0.030856952,0.000331964,8248.55957,0.67787075,0.000333988385189891,0.0161922495152866,0.0161879866825229,0.0161965123480503,24554.219238
1,1,0.028500001,29,0.016797932,0.030456634,0.000385562,5594.949707,0.65373975,0.016878007,0.031595755,0.000387487,5631.02002,0.664742231,0.0167458,0.030775357,0.000380049,5737.52002,0.65874958,0.00038434936792331,0.016806880367151,0.0168009783758298,0.0168127823584722,16963.489747
1,1,0.029500001,30,0.017604785,0.03058053,0.000486016,3752.419922,0.677061856,0.017640267,0.03175915,0.000462846,3806.609863,0.661261141,0.017335502,0.031046378,0.000436963,3863.829834,0.643295646,0.000462137036981781,0.0175255230998954,0.0175168751462831,0.0175341710535077,11422.859619
1,1,0.030500001,31,0.01859111,0.030699797,0.000582165,2484.679932,0.665449143,0.018428449,0.032003596,0.000573901,2559.619873,0.671869516,0.018139893,0.031153549,0.00054238,2583.449951,0.656318903,0.000566177558794442,0.0183837032397746,0.0183707378842876,0.0183966685952615,7627.749756
1,1,0.031500002,32,0.019468183,0.031029966,0.000733677,1639.51001,0.686159313,0.019353923,0.031876084,0.000684648,1719.299927,0.661399365,0.019139055,0.031178072,0.000677493,1717.059937,0.667619407,0.000698503181239465,0.0193181437492885,0.019298535304752,0.0193377521938251,5075.869874
1,1,0.032500002,33,0.02049941,0.030485943,0.000812495,1102.26001,0.633455515,0.020420019,0.031604394,0.000795227,1126.559937,0.628364086,0.020382525,0.031177077,0.000828098,1108.689941,0.656083226,0.000811960895490529,0.0204337838442545,0.0204056742984049,0.020461893390104,3337.509888
1,1,0.033500002,34,0.021531405,0.031043269,0.001096496,696.7999878,0.676598549,0.021699484,0.031516757,0.001003383,707.7099609,0.632600546,0.021658959,0.031223329,0.001062676,721.0700073,0.673472226,0.00105471833663717,0.0216306374685947,0.0215848836054244,0.021676391331765,2125.579956
1,1,0.034500002,35,0.022839388,0.030945275,0.001271791,452.4599915,0.646265507,0.02290469,0.031882487,0.001269661,440.3699951,0.650512815,0.023037965,0.030718153,0.001315335,459.4799805,0.668501675,0.00128606691454497,0.0229281244586723,0.0228581796580018,0.0229980692593428,1352.3099671
1,1,0.035500002,36,0.024282638,0.031123951,0.001923757,285.8999939,0.722915709,0.024265613,0.031785067,0.001420099,280.6699829,0.604362547,0.024405913,0.031229185,0.001427828,284.8899841,0.596635103,0.00160921144627806,0.0243182725661856,0.0242079762535855,0.0244285688787856,851.4599609
1,1,0.036500002,37,0.025770107,0.030970058,0.002184043,185.8699951,0.668698311,0.025408357,0.031260785,0.001741829,172,0.593488753,0.026195904,0.030990996,0.0020641,178.9899902,0.683535934,0.00201099073007125,0.0257961704080399,0.025622586466038,0.0259697543500419,536.8599853
1,1,0.037500002,38,0.027131338,0.030384392,0.001770507,119.5400009,0.387492448,0.027036643,0.031656068,0.00241988,104.5599976,0.695370197,0.027459081,0.031391144,0.00245286,113.5199966,0.650736988,0.00222393620034551,0.0272122102103821,0.0269701417320256,0.0274542786887386,337.6199951
1,1,0.038500002,39,0.028389799,0.031752002,0.003620882,74.68999481,0.758571982,0.029030103,0.033054303,0.003336807,65.22000122,0.748589873,0.027958058,0.032392521,0.003074687,74.97000122,0.673288941,0.00335186217079526,0.0284335117907886,0.0279761939410307,0.0288908296405465,214.87999725
1,1,0.039500002,40,0.029129695,0.030515309,0.004361431,46.96999741,0.725530624,0.029683633,0.030680766,0.003571119,36.88999939,0.600358844,0.029473361,0.030042006,0.003834594,49.93000031,0.688904703,0.0039606004009032,0.0294106877257695,0.0287258633653322,0.0300955120862068,133.78999711
1,1,0.040500002,41,0.030675391,0.028246295,0.004707134,29.81999969,0.646415472,0.028460003,0.02793785,0.005878991,21.96999931,0.698543191,0.029963138,0.029028621,0.005299381,32.55999756,0.73564893,0.00525871257894285,0.0298234285613013,0.0286782666475576,0.030968590475045,84.34999656
1,1,0.041500002,42,0.026366634,0.024143558,0.005175711,18.76000023,0.593235016,0.026244165,0.02439199,0.004992881,11.59000015,0.345401883,0.028175535,0.025628189,0.006768854,19.79999924,0.710132837,0.00582734631419032,0.0270525128226819,0.025406757163189,0.0286982684821749,50.14999962
1,1,0.042500002,43,0.024035618,0.021600211,0.011806192,11.5,0.728987217,0.022719706,0.019482844,0.012594439,8.710000038,0.677017391,0.023076883,0.021425411,0.010704045,12.90999985,0.719623387,0.0115973866304793,0.0233158455858451,0.019285475115951,0.0273462160557393,33.119999888
1,1,0.043500002,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017620873,0.016875492,0.015913656,8.039999962,0.674233139,NA,NA,NA,NA,NA
1,1,0.044500002,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015586042,0.013416999,0.015010851,6.150000095,0.581157923,NA,NA,NA,NA,NA
