"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,3,5e-04,1,1919.415894,0.033489619,267.462616,467.5999756,0.222566813,2068.496582,0.033355571,261.1254883,533.75,0.252101094,2062.3125,0.033932813,323.5318909,508.7799988,0.318519265,285.510966872786,2020.25142129275,2005.55723212609,2034.9456104594,1510.1299744
1,3,0.0015,2,915.6917114,0.033489619,87.99475098,1014.259949,0.344137549,922.2857056,0.033355571,91.37532806,1021.779968,0.310859293,966.4824829,0.033932813,89.23094177,990.6699829,0.306433737,89.5516076244073,934.542049160463,931.286547031369,937.797551289557,3026.7098999
1,3,0.0025,3,741.0823975,0.033489619,83.97882843,1048.429932,0.428452402,1015.196533,0.033355571,2135.048584,1083.459961,0.465348005,790.9588013,0.033932813,300.3623352,1043.069946,0.628866613,1259.98962855402,851.01017173183,806.287488931567,895.732854532093,3174.959839
1,3,0.0035,4,713.8711548,0.033489619,67.89907074,1328.099976,0.513986707,703.2483521,0.033355571,64.56763458,1421.609985,0.502434075,691.3605347,0.033932813,65.94473267,1378.27002,0.511776447,66.1132796059681,702.696876965622,700.638855474249,704.754898456995,4127.979981
1,3,0.0045,5,743.5567017,0.033489619,68.24851227,1519.359985,0.572373867,766.5412598,0.033355571,107.4724274,1634.01001,0.712468445,908.3280029,0.033932813,471.895874,1598.679932,0.829394281,283.508456523602,806.892225365005,798.66685398238,815.117596747631,4752.049927
1,3,0.0055,6,702.9107666,0.033489619,70.70029449,1428.219971,0.599001348,802.9797974,0.033355571,101.8917542,1569.339966,0.664699733,774.7994995,0.033932813,78.22674561,1514.699951,0.597175241,85.1303088464159,761.846243765585,759.311598701727,764.380888829442,4512.259888
1,3,0.0065,7,834.8215332,0.033489619,81.35633087,1396.109985,0.606905997,850.8401489,0.033355571,79.3028717,1448.26001,0.593346,828.1033936,0.033932813,101.6459885,1409.119995,0.651699603,87.957931828819,838.050048072867,835.352729161674,840.74736698406,4253.48999
1,3,0.0075,8,809.3279419,0.033489619,72.4400177,1249.25,0.611602962,886.2123413,0.033355571,76.71287537,1343.349976,0.57994318,932.3094482,0.033932813,121.6440735,1255.789917,0.564976156,92.6617540119495,876.296622008675,873.309238496315,879.284005521036,3848.389893
1,3,0.0085,9,874.7653809,0.033489619,84.26573181,1055.539917,0.603605509,975.5749512,0.033355571,102.9677963,1141.530029,0.645572424,955.1435547,0.033932813,104.1030731,1095.069946,0.637518585,97.7644537285504,936.456828047891,933.049045825611,939.864610270171,3292.139892
1,3,0.009500001,10,988.4224243,0.033489619,224.4781189,940.8499756,0.760755062,941.7885132,0.033355571,112.4473724,1039.949951,0.686823964,988.7289429,0.033932813,124.3445969,993.2199707,0.697461724,159.767934445873,972.217928421467,966.358602160131,978.077254682803,2974.0198973
