"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,4,5e-04,1,11795.62207,0.037636433,7146.451172,238.0999908,0.622164488,9430.672852,0.037608124,2641.01001,257.2299805,0.429294318,10853.98242,0.037907507,5128.694336,233.7899933,0.736415565,5250.76243112452,10659.3457246545,10270.4323579575,11048.2590913515,729.1199646
1,4,0.0015,2,3935.203125,0.037636433,3747.262939,542.8300171,0.891864181,3601.745117,0.037608124,1317.456299,519.6300049,0.724262178,3758.723877,0.037907507,1200.893433,537.2199707,0.768194139,2411.06231801209,3767.61775542979,3647.0525821339,3888.18292872568,1599.6799927
1,4,0.0025,3,3479.279541,0.037636433,1943.461792,703.0499878,0.880944312,2392.514404,0.037608124,1530.177002,744.7799683,0.866465092,2635.389648,0.037907507,4125.899414,677.3499756,0.922299266,2737.78488106753,2829.44764577204,2710.67088876999,2948.22440277409,2125.1799317
1,4,0.0035,4,2157.862305,0.037636433,889.496521,641.8999634,0.887212932,2121.329346,0.037608124,1321.217773,508.2200012,0.881971359,2280.363525,0.037907507,1608.984619,606.0799561,0.927080572,1299.13017697491,2189.56641392103,2127.56584280538,2251.56698503668,1756.1999207
1,4,0.0045,5,1873.987915,0.037636433,1073.000854,486.3499756,0.728684783,2101.588623,0.037608124,903.3717651,525.6199951,0.913117707,1859.986206,0.037907507,953.9830933,472.6299744,0.875060737,977.664088954309,1950.11202912953,1899.36449564669,2000.85956261238,1484.5999451
1,4,0.0055,6,5129.343262,0.037636433,52252.01953,519.6699829,0.888248026,6223.783203,0.037608124,5280.203613,558.9099731,0.908983052,1637.467896,0.037907507,645.7938232,564.3599854,0.863021433,29548.9791689007,4302.17892181574,2844.16512503524,5760.19271859623,1642.9399414
1,4,0.0065,7,2282.274902,0.037636433,1907.442627,578.75,0.958542109,1672.476074,0.037608124,465.4488831,579.8599854,0.74706912,1829.678589,0.037907507,1082.909058,576.9099731,0.874179363,1294.4072796367,1928.08406527215,1865.94193512986,1990.22619541444,1735.5199585
1,4,0.0075,8,1478.267822,0.037636433,785.3584595,640.4799805,0.928558588,1497.028198,0.037608124,514.2030029,710.4699707,0.889541566,1628.789551,0.037907507,756.4819946,703.1099854,0.91921097,692.572196349926,1536.2807418488,1505.71826888549,1566.84321481211,2054.0599366
1,4,0.0085,9,1641.387939,0.037636433,700.0695801,770.0199585,0.914794087,1250.539307,0.037608124,453.8337097,769.4599609,0.920936585,1277.82019,0.037907507,407.6859741,732.3899536,0.904923677,538.009241517799,1391.80685750594,1369.23184471005,1414.38187030184,2271.869873
1,4,0.009500001,10,1345.743408,0.037636433,468.5374146,885.0899658,0.799398243,1446.346191,0.037608124,759.7651978,981.3299561,0.913462997,1221.194702,0.037907507,366.1914978,848.2099609,0.906138599,567.591276593003,1343.19465228736,1321.40700204119,1364.98230253354,2714.6298828
1,4,0.010500001,11,1268.376099,0.037636433,335.92276,962.039978,0.910011351,1359.967651,0.037608124,388.8665161,1083.929932,0.925500453,937.4432373,0.037907507,245.2716522,886.6199951,0.891854823,333.319298342065,1202.17766220182,1189.86747132516,1214.48785307847,2932.5899051
1,4,0.011500001,12,1094.755249,0.037636433,260.6705627,1084.789917,0.903914869,1206.32959,0.037608124,698.9459229,1049.189941,0.862474978,1183.424561,0.037907507,914.7816772,890.3699951,0.719630301,663.465547169208,1159.56625984947,1135.43764689689,1183.69487280205,3024.3498531
1,4,0.012500001,13,1064.387573,0.037636433,501.8734131,1032.429932,0.929186881,1033.516968,0.037608124,278.7255859,1024.109985,0.911856651,920.8275757,0.037907507,218.1508636,900.3499756,0.884226918,359.648348084289,1009.98272847323,996.754841080915,1023.21061586554,2956.8898926
1,4,0.013500001,14,913.3406982,0.037636433,210.1852112,898.7999878,0.895670235,932.239563,0.037608124,212.3993988,888.4299927,0.863287747,897.3353882,0.037907507,223.2229004,812.3599854,0.891738176,215.088985685169,914.797945292069,906.360795857053,923.235094727085,2599.5899659
1,4,0.014500001,15,1086.552124,0.037636433,943.0189819,755.6699829,0.929361641,929.2997437,0.037608124,345.487793,733.4699707,0.890481293,1131.232788,0.037907507,468.3115845,643.4599609,0.84513396,649.88841589982,1045.94925241964,1017.80341998506,1074.09508485423,2132.5999145
1,4,0.015500001,16,926.3284912,0.037636433,353.5026245,544.5100098,0.900191426,747.2271729,0.037608124,197.2967987,571.8099976,0.879636288,1067.878784,0.037907507,746.2703857,448.3699951,0.906949997,466.108075886667,901.438563971018,877.871663401127,925.00546454091,1564.6900025
1,4,0.016500001,17,815.1769409,0.037636433,241.496933,377.5599976,0.810058832,806.1497192,0.037608124,204.708374,415.1600037,0.831166685,862.8206177,0.037907507,281.1646729,348.1000061,0.871554971,242.219733064644,826.429393265023,812.086692019021,840.772094511025,1140.8200074
1,4,0.017500001,18,862.2949219,0.037636433,498.4021301,260.4599915,0.888995528,952.3731079,0.037608124,668.2835693,293.1300049,0.88597697,887.3719482,0.037907507,536.1573486,239.6999969,0.892966688,577.465340585949,903.157131815304,862.15183775675,944.162425873857,793.2899933
1,4,0.018500001,19,875.4800415,0.037636433,470.7103577,160.5800018,0.769223094,950.208313,0.037608124,495.8786621,188.9199982,0.875145793,845.5693359,0.037907507,401.4638977,161.3399963,0.84681499,459.893284195461,893.669439068193,852.974105112337,934.364773024048,510.8399963
1,4,0.019500001,20,836.2785645,0.037636433,644.4335938,103.0499954,0.881606638,831.0596924,0.037608124,699.2719727,121.8299942,0.905422449,1046.039307,0.037907507,1331.991089,100.9300003,0.874379814,929.270060365041,899.307131095157,796.342102949235,1002.27215924108,325.8099899
1,4,0.020500001,21,881.8917236,0.037636433,754.1360474,72.88999939,0.832723737,2423.694824,0.037232041,4926.08252,79.72000122,0.918734133,1276.420898,0.036770281,799.718689,57.09999847,0.836100102,3100.40831061932,1575.42165034429,1147.22889134667,2003.61440934192,209.70999908
1,4,0.021500001,22,844.4320679,0.036130976,1579.570313,49.54999924,0.844331682,845.9551392,0.036855958,693.5554199,51.94999695,0.840062499,1101.144409,0.036770281,374.1922607,44.96999741,0.773736715,1028.61717936405,923.789461029371,753.804915776708,1093.77400628203,146.4699936
1,4,0.022500001,23,1079.182129,0.035378248,1705.046753,24.57999992,0.811749637,699.4500122,0.035351638,885.7133789,33.20000076,0.827157855,894.3666382,0.033737678,1653.709229,28.03999901,0.864188552,1423.23358149952,871.89556631438,564.631393779791,1179.15973884897,85.81999969
