"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,5e-04,1,0.210609883,0.000342543,0.001869438,25266.35938,-0.002924273,0.211406991,0.000326649,0.00183317,26913.07031,0.000908083,0.208219543,0.000318901,0.001844697,26116.24023,0.001351974,0.00184878016752519,0.210086558146089,0.210073343778088,0.210099772514091,78295.66992
1,1,0.0015,2,0.224051535,0.001771361,0.003471454,9352.919922,0.033020515,0.222977728,0.00170578,0.003290149,9981.80957,0.021532469,0.222387463,0.001681506,0.003374161,9672.769531,0.030636709,0.00337743219750645,0.223127128455794,0.223087467653818,0.223166789257769,29007.499023
1,1,0.0025,3,0.184972897,0.003520981,0.003696022,6387.199707,0.080813974,0.18419525,0.003389012,0.00370432,6914.649902,0.110424623,0.181804687,0.003342153,0.003541164,6633.790039,0.081400275,0.0036481422135287,0.183648916573094,0.183597240837423,0.183700592308766,19935.639648
1,1,0.0035,4,0.144334778,0.00528441,0.003407895,5198.859863,0.14189741,0.144762099,0.005060383,0.003298431,5447.299805,0.12966767,0.146023855,0.005119364,0.003416893,5462.22998,0.156259492,0.00337436268983745,0.145052036079819,0.144998862525276,0.145105209634362,16108.389648
1,1,0.0045,5,0.122180872,0.007496992,0.00354616,3815.309814,0.193452805,0.12369176,0.007198717,0.00380186,3756.589844,0.210109964,0.122002415,0.007191736,0.003696972,3970.459961,0.214178145,0.0036827317968325,0.122611219893059,0.1225426627381,0.122679777048017,11542.359619
1,1,0.0055,6,0.108170211,0.010521341,0.003844705,2804.030029,0.268579722,0.10270606,0.009881715,0.00407648,2807.589844,0.29912582,0.099717245,0.00975314,0.00364451,3014.219971,0.279326439,0.00385426980554236,0.103437895709743,0.103354896986213,0.103520894433273,8625.839844
1,1,0.0065,7,0.088220254,0.013132137,0.003362357,2420.800049,0.291299641,0.090406947,0.01297554,0.00359706,2422.25,0.305605382,0.082323931,0.012879741,0.003642868,2724.48999,0.394661754,0.00354058498451838,0.0867973667980078,0.0867159661888085,0.0868787674072071,7567.540039
1,1,0.0075,8,0.073780775,0.016140517,0.003143008,2197.5,0.351247102,0.070238553,0.015851498,0.002853152,2370.23999,0.342288882,0.066549882,0.015734775,0.002615681,2677.97998,0.375185102,0.00286139099294839,0.0699495335161561,0.0698823030026145,0.0700167640296978,7245.71997
1,1,0.0085,9,0.060036507,0.019786909,0.002864617,2293.570068,0.421277702,0.056371536,0.019286504,0.002290202,2501.179932,0.395203441,0.053215679,0.019639477,0.002308823,2756.530029,0.441021174,0.00248507684786073,0.0563326887051155,0.0562754935119529,0.0563898838982781,7551.280029
1,1,0.009500001,10,0.04897476,0.022658749,0.002173703,2442.800049,0.454284787,0.045973949,0.022076374,0.002093409,2602.709961,0.442229658,0.046643455,0.022736557,0.001978007,2879.309814,0.444865257,0.00207780068384903,0.0471421896237343,0.0470955087278792,0.0471888705195894,7924.819824
