"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,5e-04,1,0.07690151,0.000463484,0.000119441,219929.5625,0.015088924,0.077042908,0.00043444,0.000120623,217348.5156,0.014342224,0.074627854,0.000458487,0.000116202,220144.8594,0.017532066,0.000118761873773545,0.0761868999548718,0.0761866070108697,0.076187192898874,657422.9375
1,1,0.0015,2,0.070577078,0.002866425,0.000171953,100094.125,0.067462526,0.072536342,0.00268709,0.000180551,94206.94531,0.064025909,0.070207231,0.002909849,0.000168058,101963.4375,0.065386243,0.000173423741066667,0.0710728019262726,0.0710721646925762,0.071073439159969,296264.50781
1,1,0.0025,3,0.059136737,0.006475228,0.000171327,87742.39063,0.184319899,0.060370419,0.005886784,0.000211284,72118.17188,0.242064044,0.061688662,0.006577923,0.000177223,88450.69531,0.187713951,0.000185809367722712,0.060404059448096,0.0604033136875625,0.0604048052086294,248311.25782
1,1,0.0035,4,0.052135624,0.010811079,0.000191655,77450.28906,0.370076954,0.046811052,0.00914135,0.00022423,63435.14844,0.423045814,0.056268081,0.010926588,0.000215436,75112.64844,0.400749564,0.000209944872908014,0.0520089320191616,0.0520080285562737,0.0520098354820494,215998.08594
1,1,0.0045,5,0.045313276,0.015339946,0.000219537,68977.94531,0.537732601,0.03506558,0.012961964,0.000218841,56137.08984,0.558001161,0.048401259,0.014979722,0.000250781,66677.72656,0.56579417,0.000230685609718497,0.0433873631468987,0.0433863096472549,0.0433884166465426,191792.76171
1,1,0.0055,6,0.039254792,0.019351674,0.000213498,65624.83594,0.599572659,0.026682796,0.017163554,0.000188906,54750.95703,0.630884826,0.040475123,0.018555487,0.000228177,64975.58984,0.605747998,0.000211969356896298,0.0359689406779378,0.0359679559751609,0.0359699253807147,185351.38281
1,1,0.0065,7,0.035847798,0.023027722,0.000188071,62725.48828,0.598286808,0.02149811,0.021009754,0.000151997,56849.71875,0.652855337,0.036122616,0.022004198,0.00019051,63719.52734,0.593231678,0.000178568865182163,0.0314927113324564,0.0314918771505995,0.0314935455143133,183294.73437
1,1,0.0075,8,0.035045128,0.027035685,0.000174807,57673.23047,0.607622862,0.018427078,0.025089933,0.000121723,58572.86719,0.657642126,0.03501188,0.025893683,0.000174122,59144.64844,0.602299333,0.000158808309482685,0.0294842115972496,0.029483453194532,0.0294849699999673,175390.7461
1,1,0.0085,9,0.035078004,0.031219535,0.000186514,52186.20703,0.67380929,0.016615391,0.029438419,0.000102863,59286.25781,0.67592001,0.035058871,0.02994976,0.000180823,53639.64063,0.657128274,0.000159425559081625,0.0284424788924391,0.0284416942017732,0.028443263583105,165112.10547
1,1,0.009500001,10,0.034309108,0.034404539,0.0002183,49016.66797,0.754555881,0.015555905,0.033394836,9.28e-05,59098.96875,0.702085316,0.034466952,0.033214439,0.000208239,49933.48047,0.736374915,0.000178044276720304,0.0273466315412088,0.0273457358424422,0.0273475272399755,158049.11719
1,1,0.010500001,11,0.032381229,0.03614853,0.000254273,48528.01953,0.807930648,0.014975284,0.036041666,8.65e-05,58001.55859,0.717422366,0.03268785,0.035110958,0.000247491,48989.62891,0.801435828,0.000205572433611028,0.0259861945298593,0.0259851519655431,0.0259872370941754,155519.20703
1,1,0.011500001,12,0.029738605,0.036491271,0.00027091,49924.89063,0.823427439,0.014756224,0.037396409,8.17e-05,55525.80859,0.718947411,0.030107969,0.035708316,0.000269114,50006.11719,0.822856247,0.000221923916733562,0.0245060370178194,0.0245049113008327,0.0245071627348062,155456.81641
1,1,0.012500001,13,0.027004499,0.0361389,0.000260101,51252.37891,0.804432154,0.014891289,0.037776452,7.99e-05,51260.25781,0.718679249,0.027402243,0.035474606,0.000263186,51337.75,0.809183359,0.000218580910032097,0.0231013109855067,0.0231001964525134,0.0231024255184999,153850.38672
1,1,0.013500001,14,0.02453219,0.035669051,0.000244019,50710.17969,0.770920694,0.015330563,0.037610158,8.1e-05,45207.21094,0.717686772,0.024905831,0.035029411,0.000247815,51089.34766,0.778087616,0.00020952452438927,0.0218323762197077,0.0218312832799153,0.0218334691595,147006.73829
1,1,0.014500001,15,0.022399506,0.0352237,0.000232562,47666.10938,0.733005881,0.016032994,0.037152592,8.60072e-05,37935.00781,0.722108424,0.022795787,0.03459046,0.000235767,48304.25781,0.740583301,0.000203470058856201,0.0207388435892995,0.0207377315208966,0.0207399556577024,133905.375
1,1,0.015500001,16,0.020701861,0.034937404,0.000229051,41974.32813,0.69513917,0.016965101,0.03655177,9.46e-05,30299.11914,0.727889121,0.021046592,0.034355946,0.000232081,42915.96094,0.704627991,0.000203810897114744,0.0198473894315087,0.0198461884090663,0.0198485904539512,115189.40821
1,1,0.016500001,17,0.019396041,0.034721199,0.000233098,34705.51953,0.658714771,0.018061969,0.03596811,0.000105853,23081.47852,0.726712883,0.019701771,0.03407656,0.000234358,35976.89844,0.667317629,0.000209627529363949,0.0191849454953013,0.0191835763154858,0.0191863146751168,93763.89649
1,1,0.017500001,18,0.018444359,0.034505229,0.000245767,27064.80859,0.627090275,0.019296892,0.035417114,0.000126302,16811.83984,0.742657185,0.01869769,0.033824582,0.000246284,28372.59961,0.636518002,0.000223960968292443,0.018742221024449,0.0187405545998553,0.0187438874490428,72249.24804
1,1,0.018500001,19,0.017743664,0.034393217,0.000266093,20021.62891,0.59897393,0.020640731,0.03483846,0.000151611,11820.20996,0.748983681,0.017992534,0.033663765,0.000264877,21173.66992,0.605181754,0.000244716515677643,0.0184889823482157,0.0184868566979603,0.0184911079984711,53015.50879
1,1,0.019500001,20,0.017329654,0.034158237,0.000294536,14124.75977,0.572546542,0.022096681,0.034263428,0.000184331,8010.599609,0.751849175,0.017609,0.033652477,0.000296033,15030.18945,0.584349155,0.000275199520730713,0.0184701017872615,0.0184672467788399,0.0184729567956831,37165.548829
1,1,0.020500001,21,0.017243693,0.034142092,0.000338151,9481.889648,0.554124057,0.023629282,0.033838645,0.000223666,5221.169922,0.743603468,0.017414149,0.033524118,0.00033268,10284.79004,0.558072627,0.000315272830192263,0.0186481095440338,0.0186441206536734,0.0186520984343942,24987.84961
1,1,0.021500001,22,0.017357213,0.0339109,0.000376479,6184.489746,0.509933114,0.02521036,0.033542898,0.000270072,3306.73999,0.726703346,0.017474623,0.033294488,0.000386182,6762.929688,0.543728292,0.000361691912928942,0.0190037054521043,0.0189980314886187,0.01900937941559,16254.159424
1,1,0.022500001,23,0.017577397,0.033866111,0.000445599,3892.789795,0.503581584,0.026783561,0.03331415,0.000351352,2058.550049,0.742379844,0.017816419,0.033199418,0.000464435,4281.120117,0.537851751,0.000436603909659982,0.0195294819651051,0.0195208496439563,0.0195381142862538,10232.459961
1,1,0.023500001,24,0.017868113,0.033573456,0.000496342,2387.419922,0.451221049,0.028498633,0.032510333,0.000446963,1251.25,0.73670131,0.018430751,0.033139028,0.000556652,2624.629883,0.510492981,0.000513485854690322,0.0202275968373079,0.0202146203579654,0.0202405733166504,6263.299805
1,1,0.024500001,25,0.018418571,0.033362597,0.00062685,1413.880005,0.487045705,0.030261999,0.032510664,0.000568594,732.4400024,0.722093761,0.019054487,0.032765012,0.000674362,1585.150024,0.497511953,0.000636825096255696,0.0210134257392657,0.0209925755411194,0.0210342759374119,3731.4700314
1,1,0.025500001,26,0.01926085,0.033512555,0.000790076,804.8299561,0.485381931,0.031984318,0.032370325,0.000720061,422.75,0.701630235,0.019836349,0.032591,0.000827745,929.0299683,0.484230399,0.000793583653268531,0.022002885936968,0.0219687087031708,0.0220370631707653,2156.6099244
1,1,0.026500001,27,0.020388445,0.033010349,0.001001157,461.5799866,0.486292481,0.033674836,0.032162055,0.000898686,242.7200012,0.66740036,0.020823991,0.032732081,0.000929945,535.25,0.398148358,0.000951233574157952,0.0231781661649375,0.0231241299222609,0.0232322024076141,1239.5499878
1,1,0.027500001,28,0.021367304,0.033692204,0.001099388,257.4499817,0.419172496,0.035400499,0.032262407,0.001145598,137.6499939,0.636517465,0.021527017,0.032820821,0.001347892,305.3999939,0.534684241,0.0012224517887394,0.0241944926389757,0.0241021169531691,0.0242868683247824,700.4999695
1,1,0.028500001,29,0.022269882,0.032604948,0.00144212,143.8600006,0.479109883,0.037150957,0.032245334,0.001454807,78.93000031,0.605173171,0.02293919,0.032507248,0.001735191,172.3099976,0.5134027,0.00157919281640231,0.0255346041440173,0.0253757086281154,0.0256934996599192,395.09999851
1,1,0.029500001,30,0.023636175,0.031569861,0.002663125,76.11999512,0.675929725,0.038870659,0.030510988,0.001746769,44.34999847,0.545159638,0.024730897,0.032858271,0.002328481,95.63999939,0.523315847,0.00235125733222332,0.0272470610249497,0.0269271768659302,0.0275669451839692,216.10999298
1,1,0.030500001,31,0.025083883,0.031721242,0.002775623,39.06999969,0.496410251,0.040535323,0.031557538,0.002533973,23.69999886,0.566371143,0.026137661,0.032064777,0.002521221,52.40999985,0.466293365,0.00261283446835071,0.02874274409621,0.0282558288669478,0.0292296593254722,115.1799984
1,1,0.031500002,32,0.025463214,0.031527299,0.005320915,17.73999977,0.60307467,0.042040043,0.030230496,0.00298878,13.22999954,0.495382011,0.027488254,0.031676073,0.004969674,27.09000015,0.60255909,0.00472174396484689,0.0301853940981466,0.0289460442558988,0.0314247439403944,58.05999946
1,1,0.032500002,33,0.024013201,0.026098449,0.003303524,11.09000015,0.221201748,0.040010147,0.028381769,0.004867104,6.259999752,0.483295918,0.028329939,0.027929302,0.003190167,15.09999943,-0.065643832,0.0035836617725355,0.0291079197283664,0.0278497197783409,0.0303661196783918,32.449999332
1,1,0.033500002,34,NA,NA,NA,NA,NA,0.034628417,0.022548579,0.006455278,3.399999857,0.338270634,0.024364634,0.02488287,0.006350345,7.079999924,0.441439152,NA,NA,NA,NA,NA
1,1,0.034500002,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018025123,0.020076118,0.015932193,3.460000038,0.441738874,NA,NA,NA,NA,NA
