"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,3,5e-04,1,2512.576172,0.039473683,2429.997314,6.079999924,0.038712166,4029.607666,0.037051953,6594.209961,3.259999991,0.011163341,3630.88208,0.039695267,7229.710938,4.989999771,0.343146741,5452.36908368943,3247.10995513037,424.062182551044,6070.15772770971,14.329999686
1,3,0.0015,2,618.897644,0.039872408,771.7635498,16.36999893,0.274962425,3697.200928,0.040273864,10401.64551,8.029999733,0.280394495,1077.450195,0.040096231,4459.800781,10.0199995,0.414486438,5496.27011801103,1470.53833095005,-365.656321364632,3306.73298326473,34.419998163
1,3,0.0025,3,506.9378357,0.039872408,326.2808838,25.5,0.238941982,688.567749,0.040273864,630.3379517,14.25,0.089411825,697.0153809,0.039695267,580.9638672,15.98999977,0.184838414,495.184038237674,607.898836628888,477.900071400345,737.89760185743,55.73999977
1,3,0.0035,4,652.0394897,0.039872408,426.2131653,40.75,0.398973256,571.2201538,0.039871123,449.2648926,20.31999969,0.360062033,1528.697876,0.040096231,3210.060547,22.21999931,0.455064952,1691.71405948661,866.196051981358,502.878314023736,1229.51378993898,83.289999
1,3,0.0045,5,748.9539795,0.039872408,279.0007019,49.09999847,0.354839891,607.6578979,0.040273864,286.2825317,30.38999939,0.291432321,2091.89502,0.040096231,7178.839844,33.36999893,0.481433958,3903.95903830721,1107.98246083427,387.719127104691,1828.24579456386,112.85999679
1,3,0.0055,6,835.8270264,0.039872408,300.03302,67.26000214,0.308730215,602.302124,0.040273864,335.5886841,39.05999756,0.380713046,1586.081787,0.040096231,700.6688843,40.82999802,0.092558324,454.713142364169,982.014036968513,908.543460388018,1055.48461354901,147.14999772
1,3,0.0065,7,857.4924316,0.039872408,214.3486633,90.04000092,0.280849218,838.15625,0.040273864,371.7932434,55.47999954,0.404774725,683.6906128,0.040096231,203.6644592,57.79999924,0.342109084,264.153805258235,802.807617724191,766.49789834701,839.117337101373,203.3199997
1,3,0.0075,8,885.5672607,0.039872408,207.0907593,121.1899948,0.360071242,800.1976929,0.040273864,188.0804749,94.09999847,0.303836614,762.282959,0.040096231,216.5275726,85.44999695,0.364551663,204.135818190199,823.826487914746,800.754782678223,846.89819315127,300.73999022
1,3,0.0085,9,961.1740112,0.039872408,174.8919067,201.6599884,0.361592561,895.522644,0.040273864,198.1401062,179.8499908,0.436889917,813.8271484,0.040096231,213.2830353,142.1699982,0.466620386,193.923989757071,898.62493080818,882.015504794509,915.234356821851,523.6799774
1,3,0.009500001,10,805.3161621,0.039872408,126.4135361,337.1600037,0.521207035,827.4390259,0.040273864,132.5003357,372.6699829,0.550974965,790.7841187,0.040096231,154.8567505,243.8099976,0.529924154,136.528126570352,810.246187985515,801.580840630349,818.911535340681,953.6399842
1,3,0.010500001,11,831.4177246,0.039872408,108.373909,537.6099854,0.590582371,834.40802,0.040273864,105.703125,629.7999878,0.609925151,805.6320801,0.040096231,119.4071274,403.1699829,0.593719125,110.273842455134,825.997618598628,820.543826809822,831.451410387434,1570.5799561
1,3,0.011500001,12,869.0734253,0.039872408,111.100563,685.9799805,0.64003247,838.1361694,0.040273864,93.84623718,813.2000122,0.640031219,839.2180786,0.040096231,117.3956299,500.9299927,0.620070458,106.137967462972,849.017720477458,844.366146856275,853.669294098641,2000.1099854
1,3,0.012500001,13,882.8850098,0.039872408,121.3752289,719.6300049,0.642565906,867.4846191,0.040273864,91.15981293,853.9400024,0.605374277,870.2116699,0.040096231,119.7505417,519.0999756,0.633838534,109.606654331555,873.456987099145,868.760829961881,878.153144236409,2092.6699829
1,3,0.013500001,14,956.4443359,0.039872408,127.4376831,629.6599731,0.641400099,921.7272339,0.040273864,100.3725815,766.2199707,0.622265041,903.7785034,0.040096231,128.4105835,452.0899963,0.608861327,117.234518117245,929.165411171082,923.820209164831,934.510613177334,1847.9699401
1,3,0.014500001,15,962.0237427,0.039872408,139.7957153,475.8399963,0.639017701,962.0227051,0.040273864,124.9805527,570.9599609,0.601714253,938.9451294,0.040096231,165.6992493,344.1099854,0.606721044,141.025674171978,956.313686663644,948.902209921304,963.725163405985,1390.9099426
1,3,0.015500001,16,980.9017944,0.039872408,167.1797638,338.9599915,0.628435433,1019.116455,0.040273864,153.5886383,397.6399841,0.616927445,999.1432495,0.040096231,188.8145142,241.6399994,0.598620057,167.560155189834,1000.94139892832,990.441040538732,1011.4417573179,978.239975
