"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,4,5e-04,1,2443.741211,0.040160641,1136.460938,205.6299896,0.402178764,4334.102539,0.039532069,2706.390137,8.479999542,0.083782755,5015.68457,0.040273864,8378.120117,9.710000038,-0.00760649,2052.71564082611,2626.94126144903,2358.01362953969,2895.86889335838,223.81998918
1,4,0.0015,2,1496.953125,0.040160641,525.9055786,120.7099991,0.283847392,5508.651855,0.040338848,18280.10547,13.73999977,0.554545999,3931.789551,0.039871123,3458.375977,14.13999939,0.335771114,5527.03195518099,2099.61364222544,1210.91757543789,2988.30970901299,148.58999826
1,4,0.0025,3,1970.713501,0.040160641,1040.795898,61.27000046,0.341738939,3391.125244,0.03912868,6004.242676,13.89999962,0.335953593,2076.219482,0.040273864,1384.846191,22.72999954,0.384080321,2455.11573933972,2196.88177141353,1710.54545976014,2683.21808306693,97.89999962
1,4,0.0035,4,2634.245605,0.040160641,1363.449341,65.91999817,0.526216626,5228.685059,0.040338848,9232.110352,40.96999741,0.647921801,3771.619385,0.040273864,3070.608154,55.31999969,0.516976237,5037.1191224261,3677.4223499727,2902.24783335475,4452.59686659065,162.20999527
1,4,0.0045,5,4153.397461,0.040160641,1388.88208,206.269989,0.687289476,4520.396973,0.040338848,2115.918457,152.5,0.778920889,4129.382324,0.040273864,1894.489014,244.2999878,0.80673486,1801.50163274537,4236.47327281495,4092.69049246788,4380.25605316203,603.0699768
1,4,0.0055,6,5272.065918,0.040160641,978.892395,664.0999756,0.797214031,4378.602539,0.040338848,1271.003052,548.5299683,0.824793816,6183.623047,0.040273864,1238.145386,896.4799805,0.837491155,1171.95231650785,5427.15564304765,5377.13878514627,5477.17250094904,2109.1099244
1,4,0.0065,7,4237.243164,0.040160641,510.5234375,1446.119995,0.770638764,4423.525391,0.040338848,594.3600464,1369.089966,0.819048643,4773.211914,0.040273864,561.7205811,1898.189941,0.828282654,556.460025327264,4507.1985346933,4491.31222961897,4523.08483976764,4713.399902
1,4,0.0075,8,3646.309326,0.040160641,366.452179,2574.25,0.78873688,3824.424072,0.040338848,420.1825562,2421.050049,0.831495345,3608.701172,0.040273864,313.5493164,3173.859863,0.81733042,364.466138774276,3684.48481863183,3676.58122580474,3692.38841145893,8169.159912
1,4,0.0085,9,2730.847412,0.040160641,211.5123596,3578.449951,0.800771594,2728.97583,0.040338848,260.8213806,3219.189941,0.812862515,2790.197754,0.040273864,215.9504852,4290.22998,0.820295095,228.545995418425,2753.26845783598,2749.01437808683,2757.52253758513,11087.869872
1,4,0.009500001,10,2081.103271,0.040160641,146.9893341,4245.810059,0.805954874,2098.608643,0.040338848,180.0738831,3837.049805,0.833659411,2996.643066,0.040273864,6680.848145,4956.449707,0.922647595,4121.04980453729,2434.26582978573,2363.53045866587,2505.00120090559,13039.309571
1,4,0.010500001,11,1926.234619,0.040160641,1427.020264,4399.919922,0.925632715,1597.643677,0.040338848,124.6721191,3884.349854,0.822448552,1750.910645,0.040273864,130.9345093,4998.169922,0.824448288,827.989148848418,1764.16641165404,1750.08514281458,1778.24768049349,13282.439698
1,4,0.011500001,12,1442.457275,0.040160641,103.2235718,4039.77002,0.806399286,1404.859009,0.040338848,114.70401,3620.179932,0.828762054,1437.370728,0.040273864,101.1623459,4517.319824,0.819743037,106.0310762922,1429.39276624094,1427.50948891606,1431.27604356582,12177.269776
1,4,0.012500001,13,1242.953125,0.040160641,93.27333832,3313.329834,0.799719751,1238.35376,0.040338848,108.8735199,2897.109863,0.822085142,1314.188232,0.040273864,103.8455505,3626.839844,0.822902322,101.96545524259,1267.86178573622,1265.84680161745,1269.876769855,9837.279541
1,4,0.013500001,14,1257.85144,0.040160641,115.2918625,2425.899902,0.798799574,1187.900024,0.040338848,112.8340912,2122.959961,0.756862462,1229.85437,0.040273864,107.8175049,2585.599854,0.809938371,111.897310823795,1226.88998191491,1224.29344096792,1229.48652286189,7134.459717
1,4,0.014500001,15,1161.115356,0.040160641,123.8297348,1594.900024,0.776327908,1086.269409,0.040338848,123.3705215,1421.369995,0.802223742,1237.317505,0.040273864,133.1606293,1674.689941,0.803094268,127.104376915554,1165.64133560348,1162.00398039589,1169.27869081108,4690.95996
1,4,0.015500001,16,1181.076172,0.040160641,223.1477509,971.6499634,0.592623889,1158.021362,0.040338848,182.5429382,873.4299927,0.796836913,1126.998413,0.040273864,144.069809,989.8699951,0.775553525,185.957693657883,1155.09098184341,1148.24560242935,1161.93636125747,2834.9499512
1,4,0.016500001,17,1170.501221,0.040160641,197.1345673,548.4599609,0.763696551,1108.554688,0.040338848,212.3560791,500.4199829,0.763841271,1235.119385,0.040273864,233.0011902,567.1400146,0.788712502,214.957388291979,1173.9963903885,1163.51581592106,1184.47696485595,1616.0199584
1,4,0.017500001,18,1261.615479,0.040160641,267.2128906,302.5899963,0.731991112,1125.332397,0.040338848,256.7922974,277.4799805,0.756086469,1874.276489,0.040273864,5411.850098,314.1600037,0.829801679,3214.944280655,1434.56624290319,1223.84665481256,1645.28583099381,894.2299805
1,4,0.018500001,19,1251.705933,0.040160641,469.1534729,156.4599915,0.761532784,1191.229492,0.040338848,309.9844666,146.8999939,0.688128173,1169.366821,0.040273864,315.802124,169.3300018,0.690954924,372.077942860994,1203.41535901857,1169.8723672755,1236.95835076163,472.6899872
1,4,0.019500001,20,1283.862305,0.040160641,911.1000366,83.79000092,0.760611892,1404.360718,0.040338848,960.895874,79.08999634,0.756924689,1246.516724,0.040273864,444.7881775,78.79000092,0.571941495,809.028742023234,1311.12162858758,1209.1196366719,1413.12362050326,241.66999818
1,4,0.020500001,21,1678.904663,0.040160641,3350.656738,41.84000015,0.708579242,1469.045166,0.040338848,1778.402954,38.66999817,0.622469723,1098.264648,0.040273864,530.9317017,39.62999725,0.531303883,2241.4741630688,1419.82334361955,1019.0064639324,1820.6402233067,120.13999557
1,4,0.021500001,22,1720.903442,0.040160641,1582.005371,18.71999931,0.695047855,1156.91687,0.039532069,691.3262329,15.73999977,0.47719124,1730.638672,0.039468385,2006.139038,20.02000046,0.701894581,1576.46999453852,1561.53763293625,1142.91449109416,1980.16077477833,54.47999954
