"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,2,5e-04,1,0.0496732,0.000604667,0.000265781,77773.53125,0.008287291,0.049087599,0.00058612,0.000240513,92684.96094,0.00712047,0.051202234,0.00061139,0.000248668,95173.22656,0.008548895,0.000251040734991416,0.0500167082749828,0.0500157535895344,0.0500176629604311,265631.71875
1,2,0.0015,2,0.02626637,0.001521837,0.000276902,26512.79883,0.088454209,0.026118083,0.001472636,0.00024285,29502.26953,0.05072863,0.025953595,0.001487914,0.000208965,39657.07031,0.049781278,0.000239863847176363,0.0260909945621635,0.026089474616281,0.026092514508046,95672.13867
1,2,0.0025,3,0.018686723,0.002599388,0.00022094,20736.76953,0.113514893,0.017761152,0.002571554,0.000220702,22004.25,0.147774577,0.018402888,0.002564887,0.00018535,28911.24023,0.117078632,0.000207238264117364,0.0182879565459742,0.0182864391075695,0.0182894739843789,71652.25976
1,2,0.0035,4,0.01514237,0.004251876,0.000202354,18262.78906,0.169761062,0.014387069,0.004183348,0.000177279,20952.5293,0.151063755,0.014792201,0.004201182,0.000178718,23523.66016,0.188021839,0.000185447808647343,0.0147588329476759,0.0147573818085378,0.014760284086814,62738.97852
1,2,0.0045,5,0.011723478,0.006523215,0.000173587,18198.5293,0.242238626,0.011412501,0.006395032,0.000145105,21263.55859,0.197832033,0.011034711,0.006470406,0.000146492,22029.7793,0.238744065,0.000154553146241085,0.0113691894793498,0.0113679678904394,0.0113704110682601,61491.86719
1,2,0.0055,6,0.008912697,0.009335613,0.000125536,18923.45898,0.245015487,0.008712842,0.009090959,0.00011258,21958.28906,0.240548372,0.008210401,0.009277761,0.000110969,22012.16016,0.272896767,0.000116088020198907,0.00859712548504979,0.00859621820954681,0.00859803276055276,62893.9082
1,2,0.0065,7,0.007156888,0.012579863,0.000102845,18676.04883,0.281154633,0.006927677,0.012079382,9.14454e-05,21134.09961,0.273109198,0.006504696,0.012454924,8.97959e-05,20713.59961,0.295698434,9.45694609665042e-05,0.00685364484910672,0.00685289141707918,0.00685439828113426,60523.74805
1,2,0.0075,8,0.006375685,0.015997494,9.66926e-05,16598.48047,0.312808245,0.006002575,0.015355517,8.41679e-05,18365.75,0.31635192,0.005845049,0.015770935,8.67339e-05,17580.38867,0.332760632,8.91432910729122e-05,0.00606773278016031,0.00606697055968514,0.00606849500063548,52544.61914
1,2,0.0085,9,0.006200571,0.01938157,0.000103075,13507.08984,0.346126914,0.005765685,0.018480165,9.01218e-05,14657.68945,0.362560958,0.00579791,0.019216888,9.69633e-05,13552.75,0.365300834,9.6685070085869e-05,0.00591695909864181,0.00591603129473277,0.00591788690255086,41717.52929
1,2,0.009500001,10,0.006549095,0.022293868,0.000119553,10402.89941,0.372524917,0.006062603,0.02149871,0.000104826,11246.9502,0.396282822,0.006159781,0.022413509,0.000118,9839,0.391746581,0.000114006092662469,0.0062536884717239,0.00625242923977107,0.00625494770367673,31488.84961
1,2,0.010500001,11,0.007377542,0.025356758,0.000151336,8167.27002,0.412160695,0.006802337,0.024366634,0.000127805,9009.040039,0.440230757,0.007078317,0.025203221,0.000155,7286.429688,0.424753785,0.000144283969197942,0.00707658115607295,0.00707477305957527,0.00707838925257064,24462.739747
1,2,0.011500001,12,0.008417346,0.027964711,0.000178496,7142.119629,0.433086395,0.007766784,0.027272483,0.0001458,8198.719727,0.471472174,0.008358688,0.027959958,0.000197,6043.759766,0.452683896,0.000172508590561323,0.00815134660805729,0.00814903445679979,0.00815365875931479,21384.599122
1,2,0.012500001,13,0.009315017,0.030472964,0.000193255,6933.339844,0.444231123,0.00845347,0.029685676,0.000147304,8677.759766,0.494372726,0.009438078,0.030704899,0.000219,5816.27002,0.465334028,0.000184093915279358,0.00899950735019578,0.00899704238339169,0.00900197231699988,21427.36963
