"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,5e-04,1,0.299928516,0.000715063,0.008295382,2831.419922,-0.001975989,0.300493568,0.000736617,0.009545702,2219.169922,0.008594107,0.299758494,0.000690471,0.009660021,2174.609863,0.001868232,0.00911257107830793,0.300050895300296,0.299840773035888,0.300261017564704,7225.199707
1,1,0.0015,2,0.385727257,0.00221523,0.008869539,3923.539795,0.00968203,0.392599315,0.002376549,0.010566545,2996.050049,0.013522915,0.382846355,0.002207442,0.010164742,2990.300049,0.009698876,0.00980199199845348,0.386935571970717,0.38674258143999,0.387128562501444,9909.889893
1,1,0.0025,3,0.298885524,0.003757959,0.005796314,5221.969727,0.021867063,0.295688897,0.004034115,0.00657971,3960.26001,0.030929091,0.29407981,0.003809445,0.006529428,3943.349854,0.024955738,0.00626395717472815,0.296477242868024,0.296370079684619,0.296584406051429,13125.579591
1,1,0.0035,4,0.208163574,0.005421126,0.003553216,6432.52002,0.049064919,0.204324409,0.005761675,0.003943908,4944.27002,0.044014793,0.200794295,0.005433852,0.003879186,4898.929688,0.045450226,0.00377416833267235,0.20477918000673,0.204721196131599,0.204837163881862,16275.719728
1,1,0.0045,5,0.137270317,0.007155546,0.002121685,7716.429688,0.070440091,0.135457143,0.007654421,0.002286011,6119.100098,0.068725407,0.133122668,0.007222135,0.002257569,6031.72998,0.075662069,0.00221478884759037,0.135452628378305,0.135421830598172,0.135483426158439,19867.259766
1,1,0.0055,6,0.093112536,0.009261477,0.00127181,9490.509766,0.114326082,0.090952277,0.009765912,0.001397302,7484.669922,0.114432968,0.089723028,0.009261073,0.001348006,7390.75,0.107523702,0.00133451785813095,0.0914208364695556,0.0914040797512913,0.09143759318782,24365.929688
1,1,0.0065,7,0.064149112,0.011659487,0.000819279,11126.04004,0.167361096,0.061824843,0.012249628,0.000870262,8931.669922,0.16291894,0.061703868,0.01167822,0.000853203,8822.169922,0.165004268,0.000845688785602909,0.0626833177599713,0.0626735640698974,0.0626930714500452,28879.879884
1,1,0.0075,8,0.045865946,0.014544647,0.000563863,12734.93945,0.231915176,0.043902125,0.015232278,0.000599114,10438.2002,0.238562524,0.045012821,0.014551625,0.000601563,10364.05957,0.24140574,0.000586752781045887,0.0449910788149632,0.044984798985751,0.0449973586441754,33537.19922
1,1,0.0085,9,0.034563702,0.017901376,0.000422943,14646.80957,0.317639411,0.032873977,0.018619834,0.000446451,12352.30957,0.33046779,0.034715891,0.017940367,0.000463779,12356.62012,0.340969294,0.000443468533477483,0.0340811430394565,0.0340767616198865,0.0340855244590266,39355.73926
1,1,0.009500001,10,0.027243856,0.02113699,0.00033495,17507.23047,0.409750402,0.025992904,0.022027573,0.000358392,14791.71973,0.426134974,0.027673202,0.021106884,0.000366613,15364.5498,0.434084326,0.000352698334230308,0.0269940417106328,0.0269908753052522,0.0269972081160135,47663.5
1,1,0.010500001,11,0.022400869,0.024030237,0.000276669,21105.73047,0.490890533,0.021281874,0.025015974,0.000293869,17782.42969,0.503173947,0.022600489,0.023926815,0.000295169,19394.12891,0.512866259,0.00028820152534425,0.0221258799054794,0.022123540076874,0.0221282197340848,58282.28907
1,1,0.011500001,12,0.018897235,0.026557153,0.000230132,24980.26953,0.546228945,0.017966317,0.027474662,0.000242784,21044.54883,0.553323805,0.018854631,0.026401088,0.000239788,24109.71875,0.570182741,0.000237309782742202,0.0186032583001465,0.018601501971659,0.018605014628634,70134.53711
1,1,0.012500001,13,0.016316496,0.028749365,0.000194898,28494.75,0.584241569,0.01563856,0.029739223,0.000206051,23829.97852,0.587982237,0.016223535,0.028547468,0.000198799,28339.39844,0.603373647,0.000199614278723651,0.0160835590075048,0.0160821814572345,0.0160849365577751,80664.12696
1,1,0.013500001,14,0.014538252,0.030537328,0.00016978,30754.47852,0.607584357,0.014053504,0.031573888,0.000180627,25417.34961,0.607638359,0.014408776,0.030379467,0.00017138,31052.80859,0.62333405,0.000173571740925517,0.0143509012302146,0.014349749328284,0.0143520531321451,87224.63672
1,1,0.014500001,15,0.013342742,0.032098081,0.000153652,30960.83984,0.619043589,0.012996892,0.03312134,0.000164362,25378.42969,0.618888915,0.013289155,0.031852905,0.000154237,31593.47852,0.630019069,0.000157024321257779,0.0132236722577945,0.0132226343765276,0.0132247101390613,87932.74805
1,1,0.015500001,16,0.012692428,0.033252981,0.00014618,29046.33984,0.621613085,0.012429507,0.034253977,0.000157172,23700.83984,0.620493054,0.012672822,0.032978233,0.000145555,29731.34961,0.62705791,0.000149201334947616,0.0126098081786879,0.0126087899195266,0.0126108264378492,82478.52929
1,1,0.016500001,17,0.01244298,0.034017567,0.000145564,25661.68945,0.617622793,0.012194018,0.035184439,0.000158054,20782.36914,0.621414125,0.012464406,0.033808436,0.00014535,26015.57031,0.619092524,0.000149178309780373,0.012379267134692,0.0123781809249319,0.0123803533444522,72459.6289
1,1,0.017500001,18,0.012470666,0.034765251,0.000152115,21244.91992,0.610892892,0.012251603,0.035839651,0.000163987,17197.71875,0.609262168,0.012487816,0.0343225,0.000151653,21534.40039,0.610270798,0.00015544978903142,0.01241400983709,0.0124127657416523,0.0124152539325277,59977.03906
