"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,3,5e-04,1,3566.633789,0.0174482,3559.688965,4.679999828,0.223291099,4776.800293,0.016330974,12875.35352,6.629999638,0.524971783,4350.760254,0.017130621,17549.18359,4.110000134,0.134104312,12490.7086798653,4295.95698299429,-2065.76804741172,10657.6820134003,15.4199996
1,3,0.0015,2,242.1203308,0.019356597,1122.788818,12.03999996,0.772369266,7318.302734,0.019869352,106281.3125,17.56999969,0.645008981,2111.627686,0.021413276,910.6427002,19.35000038,0.43985039,63820.7564313333,3520.37789954576,-14721.5711460293,21762.3269451208,48.96000003
1,3,0.0025,3,639.8587646,0.023718648,343.3424072,19.02999878,0.407987952,478.0035706,0.022591181,783.24823,12.46000004,0.477013081,707.2481689,0.022483939,1331.001709,29.06999969,0.70664525,1011.4335079499,638.905895329463,378.965122915118,898.846667743809,60.55999851
1,3,0.0035,4,2328.089111,0.024809159,946.4647827,27.89999962,0.656827509,382.8697205,0.023135547,2942.936768,15.0199995,0.830169141,285.8180847,0.025428265,336.4224548,26.34000015,0.563375533,1496.50147480436,1129.55295323629,769.914680215905,1489.19122625668,69.25999927
1,3,0.0045,5,970.2540894,0.025081787,908.050293,20.71999931,0.383890897,7363.919922,0.025040826,8342.415039,27.84000015,0.60863471,406.2041626,0.023554605,1012.877808,25.93000031,0.839661777,5168.56726641598,3163.48597913416,1965.77734049021,4361.19461777811,74.48999977
1,3,0.0055,6,694.6077271,0.024536531,940.5408936,27.59999847,0.762233317,249.1032715,0.02531301,861.8254395,36.27000046,0.898521185,336.6470642,0.02382227,202.3441467,30.84999847,0.717285514,745.311841245108,407.429375548132,254.26873353682,560.590017559444,94.7199974
1,3,0.0065,7,334.0626526,0.026172301,233.3814545,40.38999939,0.619753957,504.7372131,0.026129559,-999,46.93000031,0.977930129,541.296875,0.025695931,531.270752,31.87999916,0.706286669,698.53223906242,456.683325024471,328.722118959549,584.644531089393,119.19999886
1,3,0.0075,8,441.43396,0.026990185,241.3356171,43.29000092,0.704905927,268.6091614,0.026401741,204.6443176,51.20999908,0.80048579,335.0039368,0.026231263,486.0159302,48.81999969,0.882640123,336.211157151125,343.427600054983,287.25963138631,399.595568723656,143.31999969
1,3,0.0085,9,287.2062683,0.026990185,616.3897095,53.91999817,0.873884022,151.4750061,0.027218292,271.0809326,53.65999985,0.890517771,216.4385376,0.026766596,2524.809326,58.7899971,0.935468972,1549.74572381762,218.421183683843,-21.8783568518562,458.720724219541,166.36999512
1,3,0.009500001,10,342.9510498,0.027262814,255.806427,65.30999756,0.830675781,183.3165436,0.027218292,110.7225876,52.25,0.755789936,149.0277252,0.026766596,66.48721313,81.76999664,0.682814658,162.645004720707,221.554304432967,198.514202399398,244.594406466536,199.3299942
