"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,4,5e-04,1,226895.9531,0.019077901,1124207.5,10.63000011,0.735116541,24425.33789,0.019639066,45789.11328,16.94000053,0.727774441,31702.58203,0.021465968,70274.40625,29.12999916,0.856641591,479430.601114062,66122.8473428904,-61216.9685798975,193462.663265678,56.6999998
1,4,0.0015,2,36776.16406,0.023052465,62399.86719,29.01999855,0.703211904,34770.33984,0.022292994,23136.83789,35.09000015,0.650659442,6541.984375,0.023821989,17778.65234,58.34000015,0.852387846,34898.1140510672,21796.6096560377,15489.1778957513,28104.041416324,122.44999885
1,4,0.0025,3,7085.359863,0.026232114,5875.026367,148.7200012,0.912380993,11765.35449,0.025743099,28288.99609,165.9299927,0.493304402,4612.961426,0.02565445,6301.710449,163.8899994,0.926045597,17374.6564662076,7861.36625982556,6272.86668653387,9449.86583311724,478.5399933
1,4,0.0035,4,2231.938965,0.026497085,2269.911865,355.6600037,0.838910341,2869.855469,0.026539279,3906.665527,407.0899963,0.925741255,4589.963379,0.02617801,10328.20508,390.9400024,0.972438633,6566.78074074388,3256.07499362429,2869.4072475313,3642.74273971729,1153.6900024
1,4,0.0045,5,1326.768433,0.026497085,571.819397,545.2000122,0.709828675,2394.604004,0.026539279,1801.777954,524.0199585,0.93975234,1836.486206,0.02617801,1024.837646,652.3299561,0.932486057,1220.49406365893,1844.9476099135,1786.11666065395,1903.77855917306,1721.5499268
1,4,0.0055,6,1140.140503,0.026497085,557.8132935,883.0700073,0.929538429,1752.43811,0.026539279,800.5780029,815.2199707,0.907269537,1496.455688,0.02617801,925.8087769,911.4699707,0.941498041,777.721059396109,1455.85070036147,1425.4030647241,1486.29833599884,2609.7599487
1,4,0.0065,7,1647.987671,0.026497085,4331.81543,1060.569946,0.946780086,1120.041748,0.026539279,682.7528076,1016.409973,0.936045349,1365.386108,0.02617801,605.6876221,1280.579956,0.952478409,2491.59081655566,1380.38160233564,1294.38231860998,1466.3808860613,3357.559875
1,4,0.0075,8,1030.359619,0.026497085,419.0693054,1508.76001,0.952051282,920.0935669,0.026539279,360.1056519,1431.76001,0.938282967,1147.092896,0.02617801,384.4046326,1756.579956,0.943270683,388.843211812089,1040.40343560175,1029.05621193638,1051.75065926712,4697.099976
1,4,0.0085,9,957.9104614,0.026497085,397.4457703,1768,0.950875104,880.4000854,0.026539279,389.5999756,1790.329956,0.848701417,1004.628113,0.02617801,289.2672424,2190,0.949299157,357.401788555479,951.568186108101,942.140266453495,960.996105762707,5748.329956
1,4,0.009500001,10,818.9648438,0.026497085,214.8201904,2013.219971,0.941888988,832.2470703,0.026539279,176.7755127,2108.5,0.931273162,798.2213745,0.02617801,226.5489197,2432.849854,0.954827428,208.030816580125,815.538200666679,810.399118371983,820.677282961375,6554.569825
1,4,0.010500001,11,979.9815674,0.026497085,461.2629089,2583.72998,0.940427363,939.3846436,0.026539279,227.546524,2527.639893,0.948459745,689.9041138,0.02617801,119.4516373,2524.97998,0.908345699,306.340387522799,870.629038614106,863.617854940684,877.640222287528,7636.349853
