"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,2,5e-04,1,0.001987688,6.53357e-05,5.68e-06,334986.2813,0.041988455,0.001994021,6.54e-05,5.77e-06,330354.6875,0.04351981,0.001874226,6.41e-05,5.39e-06,336347.125,0.044733092,5.61465059246484e-06,0.00195167830647956,0.00195166708664445,0.00195168952631467,1001688.0938
1,2,0.0015,2,0.001524085,0.00094,2.41e-05,28265.2793,0.373240084,0.001548907,0.000962421,2.09e-05,27415.30859,0.333837658,0.001453011,0.000945541,1.94e-05,29413.19922,0.343321651,2.15347853335679e-05,0.00150751491915827,0.00150736727318182,0.00150766256513473,85093.78711
1,2,0.0025,3,0.0015838,0.002041883,2.95e-05,17102.21875,0.418238401,0.001680936,0.002091849,3.18e-05,17207.25977,0.412130922,0.001594164,0.002097105,2.98848e-05,17778.58008,0.434864223,3.04076552109637e-05,0.00161942623831344,0.00161915977106192,0.00161969270556495,52088.0586
1,2,0.0035,4,0.002011655,0.003338282,4.97e-05,9922.919922,0.431505114,0.002069582,0.003404569,5.82e-05,10037.7002,0.388884872,0.00211532,0.00348,5.28e-05,10008.5293,0.427791506,5.36972198272762e-05,0.00206567682179323,0.00206505646064974,0.00206629718293671,29969.149422
1,2,0.0045,5,0.00266234,0.004908038,9.61e-05,4844.879883,0.442079932,0.002658952,0.005022738,9.87803e-05,4749.159668,0.447462201,0.002629345,0.005081099,9.33e-05,4910.620117,0.429668546,9.60556706561825e-05,0.00265006007976798,0.00264846493819942,0.00265165522133655,14504.659668
1,2,0.0055,6,0.003371949,0.006749074,0.000178154,2168.820068,0.443625718,0.003328021,0.00682652,0.00018349,2135.109863,0.455882251,0.003607594,0.007094862,0.000201,2152.51001,0.45838958,0.000187789427975514,0.00343598384257929,0.00343130967179055,0.00344065801336804,6456.439941
1,2,0.0065,7,0.004594375,0.009134367,0.000404864,898.0899658,0.462565064,0.004094408,0.00867015,0.000361542,896.2099609,0.405882239,0.004209221,0.009212094,0.000409,889.1199951,0.460156947,0.000392353485274247,0.00429977946476832,0.00428463118942031,0.00431492774011632,2683.4199218
1,2,0.0075,8,0.005331689,0.011314103,0.000770133,381.75,0.486565173,0.005124979,0.011356489,0.000689769,374.8399963,0.426451147,0.005020727,0.011306273,0.000808771,381.8399963,0.52949208,0.000758246858784356,0.00515932802405938,0.00511438239626211,0.00520427365185665,1138.4299926
1,2,0.0085,9,0.009293316,0.012846808,0.005315411,167.1799927,0.384543091,0.006670284,0.013852273,0.001661983,158.1399994,0.484539539,0.006318727,0.013589332,0.001309782,170.0099945,0.455588311,0.0033177097785459,0.00743492631365279,0.0071367857430659,0.00773306688423968,495.3299866
1,2,0.009500001,10,0.009535825,0.014445805,0.007334789,110.9700012,0.283968329,0.007829115,0.015063046,0.003224941,83.72000122,0.550997317,0.008204223,0.0164492,0.002843033,113.8799973,0.442175746,0.00501625109576464,0.00858132976159666,0.00801020312808371,0.0091524563951096,308.56999972
1,2,0.010500001,11,0.012333113,0.019551443,0.004259656,144.8399963,0.318628252,0.006501688,0.016645318,0.00202413,124.3600006,0.414004892,0.009539328,0.017417084,0.004101358,164.7799988,0.389468759,0.00369064347754015,0.00960129144787053,0.00924697016989156,0.00995561272584951,433.9799957
1,2,0.011500001,12,0.011765166,0.018154573,0.002259449,231.4299927,0.396223754,0.0089054,0.01907924,0.00213326,213.1699982,0.49447313,0.009462765,0.01871584,0.00387283,233.7200012,0.537169755,0.00288797455514062,0.0100731423372416,0.00985137067606,0.0102949139984232,678.3199921
1,2,0.012500001,13,0.009668818,0.018743046,0.001452404,328.4299927,0.409699112,0.008896582,0.021014923,0.001863546,286.8899841,0.530871987,0.009386111,0.019746777,0.001569324,330.1999817,0.530309796,0.00162677841463086,0.00933577730936511,0.00922996820297166,0.00944158641575857,945.5199585
1,2,0.013500001,14,0.009285519,0.01971877,0.001250023,466.0899963,0.405803472,0.008664868,0.022182318,0.001132518,401.2399902,0.374500036,0.00941343,0.022031091,0.001282292,479.2599792,0.546089947,0.001228107324959,0.00914610954148634,0.00907917525620545,0.00921304382676722,1346.5899657
1,2,0.014500001,15,0.009189427,0.021752346,0.001103806,545.2699585,0.377079576,0.007877555,0.021731593,0.00094628,552.2600098,0.552709997,0.009376243,0.022528745,0.001053238,630.6499634,0.539817095,0.00103700767429383,0.00883837620437074,0.00878848574678638,0.00888826666195509,1728.1799317
1,2,0.015500001,16,0.007548319,0.022075322,0.000906642,624.0199585,0.37637654,0.007410844,0.021486757,0.000775207,624.8599854,0.433414787,0.008325561,0.021391738,0.000829067,808.5799561,0.567515492,0.000837822231182751,0.00781202264532802,0.00777508100412878,0.00784896428652725,2057.4599
1,2,0.016500001,17,0.00740261,0.021653419,0.000824511,667.4400024,0.406771958,0.007714228,0.022576161,0.000747674,638.2099609,0.400375038,0.007389772,0.021723792,0.000658872,904.4799805,0.575213552,0.000737809872292793,0.00748734076351524,0.00745595262551311,0.00751872890151738,2210.1299438
1,2,0.017500001,18,0.008215645,0.022918107,0.000716108,698.8099976,0.3432419,0.007086837,0.021420155,0.00066824,710.3699951,0.385798365,0.007106288,0.023015827,0.000629327,958.6999512,0.604908764,0.000667570381825634,0.00742784668277628,0.00740040901354944,0.00745528435200312,2367.8799439
1,2,0.018500001,19,0.007382629,0.02237615,0.000599585,758.2199707,0.542927384,0.006848506,0.022846321,0.000591421,775.6499634,0.385699481,0.00689088,0.023525544,0.000524231,966.0799561,0.597200632,0.00056899466649008,0.00702687733424874,0.00700411731948804,0.00704963734900945,2499.9498902
1,2,0.019500001,20,0.007237856,0.023501217,0.000534591,854.6199951,0.564776897,0.006828053,0.023475226,0.00054589,823.5299683,0.511013031,0.007084719,0.022780627,0.000547038,934.1099854,0.611511231,0.000542633042325419,0.00705390346011047,0.00703266964481544,0.00707513727540551,2612.2599488
1,2,0.020500001,21,0.006986546,0.02412534,0.000495872,905.1399536,0.567873597,0.00681947,0.023122815,0.000502959,931.4699707,0.514844775,0.007013368,0.023327882,0.000541333,956.7399902,0.62131542,0.000514198366707517,0.00694001957087886,0.00692056157901088,0.00695947756274684,2793.3499145
1,2,0.021500001,22,0.007182309,0.023542371,0.000458374,986.1199951,0.578454614,0.006824702,0.02469236,0.00046661,925.4499512,0.59531498,0.007149888,0.023585187,0.000503483,964.1799927,0.607814014,0.000476555956213947,0.00705635678999385,0.00703858347908949,0.0070741301008982,2875.749939
1,2,0.022500001,23,0.006704554,0.024441423,0.000434561,1116.809937,0.651757658,0.006881316,0.023108557,0.00043832,1042.5,0.602907181,0.006926938,0.024245387,0.000464808,1053.599976,0.623254418,0.000445901796610005,0.0068348340804869,0.00681910077614663,0.00685056738482716,3212.909913
1,2,0.023500001,24,0.006686898,0.02430946,0.0003891,1247.429932,0.641442716,0.006791215,0.023728106,0.000397872,1242.839966,0.60896796,0.006608831,0.023304651,0.000425033,1195.289917,0.637527108,0.000403997766025665,0.00669675719116952,0.0066834478294845,0.00671006655285454,3685.559815
1,2,0.024500001,25,0.006492961,0.0237893,0.000366805,1396.380005,0.641990423,0.006781498,0.024952238,0.000372451,1342.599976,0.611703634,0.00663547,0.024109388,0.000402303,1283.75,0.647731602,0.000380330531903048,0.00663473927015954,0.00662274618975445,0.00664673235056464,4022.729981
1,2,0.025500001,26,0.00655447,0.024408452,0.000371278,1428.369995,0.655400395,0.00678955,0.025012301,0.000364762,1404.089966,0.630982459,0.006640344,0.02446294,0.000391652,1345.209961,0.651094198,0.000375819698910469,0.00666113042021455,0.00664950141743669,0.0066727594229924,4177.669922
1,2,0.026500001,27,0.006656418,0.024208402,0.000374089,1430.51001,0.649786592,0.006649239,0.024639709,0.000364264,1466.689941,0.652971923,0.006761739,0.024751211,0.000398521,1351.130005,0.65759331,0.000378736390258624,0.00668743559927664,0.00667581421367844,0.00669905698487485,4248.329956
1,2,0.027500001,28,0.00659264,0.024571082,0.000371664,1472.659912,0.666585147,0.006693183,0.024878483,0.000356357,1477.589966,0.653577149,0.00653237,0.024327671,0.000391973,1410.869995,0.677143276,0.000373330394307716,0.00660720694500562,0.00659590054535381,0.00661851334465743,4361.119873
1,2,0.028500001,29,0.00644174,0.023819733,0.000374972,1480.51001,0.668673813,0.006787141,0.024153296,0.000367422,1433.089966,0.649748027,0.006453491,0.023978135,0.00038758,1405.289917,0.673456907,0.000376659515538492,0.00656017419995265,0.00654871134299294,0.00657163705691235,4318.889893
1,2,0.029500001,30,0.006540845,0.023912527,0.000379924,1444.73999,0.675278723,0.006574585,0.024916902,0.000378636,1348.98999,0.659798086,0.006530967,0.024326935,0.000401067,1311.650024,0.655984938,0.000386389319248294,0.00654877567713435,0.00653671481294151,0.00656083654132719,4105.380004
1,2,0.030500001,31,0.006334765,0.024197131,0.000391697,1385.650024,0.698137105,0.006409246,0.024274744,0.000380398,1279.72998,0.675277889,0.006553463,0.02403995,0.000415909,1237.359985,0.667042375,0.000395935873186694,0.00642852572289501,0.0064158500787419,0.00644120136704813,3902.739989
1,2,0.031500002,32,0.006490082,0.024182985,0.000418618,1221.48999,0.701939106,0.006529528,0.023859382,0.000415437,1110.329956,0.671354413,0.006578475,0.02471797,0.000446882,1088.039917,0.666555107,0.00042680458484439,0.00653101150981476,0.00651641480193561,0.00654560821769391,3419.859863
1,2,0.032500002,33,0.006428642,0.024322452,0.000428627,1125.459961,0.695089936,0.006537803,0.023825765,0.000447563,969.9199829,0.665531874,0.006689611,0.024024556,0.000483481,949.8299561,0.668907583,0.00045233839035613,0.00654480923335452,0.00652841523725515,0.0065612032294539,3045.2099
1,2,0.033500002,34,0.006569247,0.024491306,0.000474908,940.0099487,0.685467422,0.006530234,0.024694495,0.000484992,828.9799805,0.667136908,0.006392627,0.023762923,0.000491145,856.1799927,0.672287583,0.000483435355682583,0.00649932409529253,0.00648045332210047,0.00651819486848459,2625.1699219
1,2,0.034500002,35,0.006523695,0.024114039,0.000522893,771.1699829,0.685091794,0.006544394,0.024348494,0.000538525,651.8999634,0.658014119,0.00650984,0.023853641,0.000553701,700.4299927,0.68111521,0.000538005791884201,0.00652547942189894,0.00650212921030917,0.00654882963348871,2123.499939
1,2,0.035500002,36,0.006671467,0.024660572,0.000623994,599.3999634,0.709423363,0.006431586,0.023990199,0.000597657,558.1400146,0.688546479,0.006563443,0.024626628,0.000624876,577.4199829,0.676744282,0.000615942462141293,0.00655834484992269,0.00652876980506212,0.00658791989478326,1734.9599609
1,2,0.036500002,37,0.006856337,0.02406726,0.000694353,475.2200012,0.666030109,0.006562274,0.023276672,0.000659962,433.8399963,0.655973434,0.006638011,0.023585847,0.000718026,473.5499878,0.678086579,0.000692073409160451,0.00668928731286912,0.00665206251791199,0.00672651210782626,1382.6099853
1,2,0.037500002,38,0.006781099,0.024050182,0.000821,363.3199768,0.679053843,0.00636404,0.023618395,0.000728066,343.039978,0.637090981,0.00635407,0.024158575,0.000799191,362.6499939,0.688957512,0.000784768874900279,0.00650240189826383,0.00645439751525867,0.00655040628126899,1069.0099487
1,2,0.038500002,39,0.006824955,0.024438247,0.000924601,287.7299805,0.685057759,0.006627663,0.024098275,0.000818425,255.4099884,0.622114837,0.006531389,0.024963476,0.000903175,269,0.67174232,0.000885283558505075,0.00666567260240218,0.00660354323209497,0.00672780197270939,812.1399689
1,2,0.039500002,40,0.006548621,0.024084263,0.000999477,218.8999939,0.652197063,0.006586273,0.023875,0.000983588,181.5800018,0.623021603,0.006556109,0.024215447,0.000950431,222.0899963,0.656906307,0.000977570360177525,0.00656227385868142,0.00648391575285552,0.00664063196450732,622.569992
1,2,0.040500002,41,0.006728168,0.022273917,0.001149634,159.5,0.653383613,0.006386977,0.024245217,0.001012323,157.9899902,0.636615574,0.007102235,0.024840483,0.001211823,155.4499969,0.635722935,0.00112727712576913,0.00673714155131692,0.00663347045943111,0.00684081264320272,472.9399871
1,2,0.041500002,42,0.0063679,0.022720439,0.00114629,115.2099991,0.620250762,0.005765043,0.022993486,0.001092159,123.0099945,0.624778092,0.006552244,0.022867763,0.001414502,117.1299973,0.634836793,0.00122408936608824,0.0062199747843587,0.00609010295246153,0.00634984661625587,355.3499909
1,2,0.042500002,43,0.006198449,0.023366341,0.001186442,89.87999725,0.61299324,0.006113427,0.024306785,0.001073263,94.18000031,0.557361007,0.006400073,0.022075692,0.001367342,94.25999451,0.621729553,0.00121555555370732,0.00623796360714314,0.00609223909640352,0.00638368811788276,278.31999207
1,2,0.043500002,44,0.006453688,0.023397556,0.001558264,66.33000183,0.659284413,0.006435292,0.023741277,0.001249564,59.82999802,0.469668567,0.006288775,0.023434645,0.001459114,65.43000031,0.577885985,0.00143373257975327,0.00639162374677818,0.00618446096651198,0.00659878652704438,191.59000016
1,2,0.044500002,45,0.006110292,0.024237901,0.001890757,49.2899971,0.637274981,0.005937189,0.022574795,0.001698347,42.87999725,0.537525415,0.005378851,0.022237431,0.001635012,42.20999908,0.502980053,0.00175270939555096,0.00582530329652168,0.00552290969141738,0.00612769690162598,134.37999343
1,2,0.045500002,46,0.006280802,0.024964521,0.002448841,32.97999954,0.604559422,0.004637401,0.018807564,0.001939848,32.47999954,0.542474747,0.005589004,0.019525146,0.002086637,31.43999863,0.629119217,0.00217149541776457,0.00550548937180869,0.00506429798070561,0.00594668076291177,96.89999771
1,2,0.046500002,47,0.005407751,0.01912247,0.002483082,22.60000038,0.509564459,0.005917663,0.020394994,0.001736364,26.07999992,0.450820655,0.005224919,0.020063255,0.002509301,19.43000031,0.505732715,0.00223362972949488,0.00555084421707888,0.00500954707391379,0.00609214136024396,68.11000061
1,2,0.047500002,48,0.004521882,0.01765066,0.002042712,19.86999893,0.382847071,0.007172789,0.020761319,0.008839981,16.60000038,0.538675785,0.004621105,0.014433264,0.003097914,11.82999992,0.487876266,0.00556268864569947,0.00545726224864699,0.00385644709753921,0.00705807739975477,48.29999923
