"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,1,5e-04,1,0.141470462,0.000205128,0.001156809,19281.16992,0.00442684,0.139669433,0.000201188,0.001105849,20686.74023,0.002680977,0.142249927,0.000200537,0.001115252,20045.83984,0.002858645,0.00112557677914967,0.141110004796069,0.141100815553025,0.141119194039113,60013.74999
1,1,0.0015,2,0.186108336,0.001328042,0.002932081,6060.369629,0.040498994,0.185222238,0.001348382,0.00280248,6294.509766,0.026318179,0.179171309,0.001254602,0.002636754,6585.330078,0.026426559,0.00278895689458804,0.183401915823248,0.183361385561478,0.183442446085019,18940.209473
1,1,0.0025,3,0.182835534,0.003001738,0.003858532,3320.919922,0.080679901,0.179100037,0.003008286,0.003711605,3631.559814,0.085200533,0.174094215,0.002849476,0.003753876,3337.709961,0.086469837,0.00377323754794421,0.178681901312203,0.17860750824709,0.178756294377315,10290.189697
1,1,0.0035,4,0.153985068,0.004774463,0.003334721,2835.339844,0.150460184,0.149530679,0.004781283,0.003052541,3173.169922,0.148444563,0.153569803,0.00474671,0.00334741,2890.949951,0.164431483,0.00324118018941543,0.152261924796397,0.152193209828071,0.152330639764722,8899.459717
1,1,0.0045,5,0.132901505,0.0065474,0.002805965,2850.409912,0.233268797,0.132735446,0.006617476,0.002682123,3213.23999,0.237882182,0.130451605,0.006476719,0.002751534,2926.27002,0.251820296,0.00274445660185331,0.132044694660383,0.131986804006942,0.132102585313825,8989.919922
1,1,0.0055,6,0.116366081,0.008050162,0.00269392,2952.109863,0.332113147,0.116034441,0.00808196,0.002458091,3281.25,0.319004744,0.115038537,0.007965167,0.002515881,2980.849854,0.320585489,0.00255430292742954,0.115818513357897,0.115765293544134,0.115871733171661,9214.209717
1,1,0.0065,7,0.102081753,0.009474062,0.00240106,3024.859863,0.355851919,0.101015039,0.009451057,0.002188156,3355.780029,0.356948793,0.102564685,0.009448251,0.002358167,3021.399902,0.357179046,0.00231316844004225,0.101856213980081,0.101808502135015,0.101903925825146,9402.039794
1,1,0.0075,8,0.091098443,0.010969129,0.002087505,3187.01001,0.36934796,0.091124483,0.01111408,0.002049012,3418.189941,0.388238519,0.092615284,0.010998115,0.002220817,3107.849854,0.383777648,0.00211787916827406,0.0915929451226991,0.0915499664136513,0.091635923831747,9713.049805
1,1,0.0085,9,0.084007911,0.012623923,0.001936082,3393.419922,0.394301146,0.083283782,0.012662637,0.001851042,3673.540039,0.392295569,0.086330898,0.012538516,0.001990052,3359.159912,0.372901946,0.00192437178716749,0.0845012074510523,0.0844635147187664,0.0845389001833382,10426.119873
1,1,0.009500001,10,0.077659331,0.01399376,0.001727378,3786.899902,0.396060765,0.076572061,0.014038963,0.001677183,4078.139893,0.408782184,0.083047643,0.01413983,0.001829397,3782.699951,0.384701908,0.00174408755093316,0.0790285518724347,0.0789962314187278,0.0790608723261416,11647.739746
1,1,0.010500001,11,0.071191594,0.015012903,0.00154828,4369.929688,0.424450636,0.070135228,0.014855601,0.001500138,4709.75,0.434529156,0.080106393,0.015438846,0.001678736,4469.459961,0.419864714,0.00157639675686421,0.073765124004537,0.0737380383291752,0.0737922096798987,13549.139649
1,1,0.011500001,12,0.064973392,0.015717616,0.001353191,5171.859863,0.447331488,0.063920379,0.015642805,0.001302341,5574.069824,0.46249029,0.075542554,0.016216088,0.001505649,5427.909668,0.459042907,0.00138955383661455,0.0681574775769943,0.0681356251936387,0.0681793299603499,16173.839355
