"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,3,5e-04,1,1626.348755,0.032701112,1357.841309,81.63999939,0.333918333,1762.631104,0.032144006,1080.601563,98.77999878,0.417423904,1366.807007,0.031948883,504.620575,84.01999664,0.201083019,1042.24691584871,1594.79253547678,1466.60758369893,1722.97748725462,264.43999481
1,3,0.0015,2,830.7022705,0.032701112,230.9553223,353.0599976,0.419846147,710.4434814,0.032144006,192.5160828,330.3500061,0.301777124,712.7590332,0.031948883,112.1665192,400.789978,0.26550743,182.511896184459,750.460653949639,739.374868350151,761.546439549128,1084.1999817
1,3,0.0025,3,620.262146,0.032701112,89.0113678,547.2600098,0.414521366,590.8578491,0.032144006,120.0328064,534.2000122,0.271461874,525.602478,0.031948883,70.15579987,589.0999756,0.401122868,94.5416002242915,577.479017004636,572.85284361962,582.105190389651,1670.5599976
1,3,0.0035,4,545.1181641,0.032701112,66.28730011,653.5700073,0.471285552,560.9873047,0.032144006,80.60507202,649.6300049,0.549398005,533.4046631,0.031948883,83.77378082,660.3499756,0.533415377,77.2807134152214,546.429085544419,542.94105614104,549.917114947798,1963.5499878
1,3,0.0045,5,839.8059082,0.032701112,368.2530212,643.7099609,0.85645473,556.2561035,0.032144006,118.5770569,571.5,0.623379886,569.255127,0.031948883,81.81417847,659.5100098,0.581776917,230.665013010541,658.189631066339,647.534874809906,668.844387322772,1874.7199707
1,3,0.0055,6,637.1802368,0.032701112,90.4788208,652.1199951,0.618752241,529.498291,0.032144006,74.73923492,699.2199707,0.620452881,611.2325439,0.031948883,110.0544662,640.9699707,0.556007743,92.3935261355818,591.04029779707,586.900366946412,595.180228647729,1992.3099365
1,3,0.0065,7,562.9823608,0.032701112,99.42379761,749.8200073,0.684580207,589.1107178,0.032144006,84.49674988,745.5,0.650650144,639.6258545,0.031948883,102.9542542,718.8599854,0.675169408,95.8784757148286,596.662834452347,592.587674539184,600.737994365511,2214.1799927
1,3,0.0075,8,583.2915649,0.032701112,101.4616165,894.7999878,0.672921181,463.3733521,0.032144006,68.6084137,885.4899902,0.69022727,633.6820068,0.031948883,100.4983139,913.9599609,0.72039932,91.6087288162676,560.973097002784,557.44331477903,564.502879226538,2694.2499389
1,3,0.0085,9,563.6973267,0.032701112,88.7563324,957.6599731,0.727443636,493.1568298,0.032144006,71.58142853,992.4899902,0.733217835,576.8984375,0.031948883,94.34165192,1024.919922,0.739007294,85.5063608937255,544.712678337752,541.577373062334,547.847983613169,2975.0698853
1,3,0.009500001,10,573.4208984,0.032701112,139.464325,1023.789978,0.691515744,500.8199768,0.032144006,76.36995697,1047.390015,0.778987408,520.1760254,0.031948883,69.33874512,1141.459961,0.758728206,99.0346060964713,530.833377550887,527.338870298542,534.327884803233,3212.639954
1,3,0.010500001,11,555.6005859,0.032701112,89.04521179,1114.349976,0.794526517,529.6692505,0.032144006,84.70449066,1082.219971,0.798109174,534.2717896,0.031948883,75.79037476,1196.76001,0.779411435,83.1740869819486,539.808175436848,536.952525339298,542.663825534398,3393.329957
1,3,0.011500001,12,585.7614136,0.032701112,88.89370728,1252.599976,0.811058581,559.5928345,0.032144006,88.90691376,1247.699951,0.813426554,572.0475464,0.031948883,95.46282196,1293.059937,0.787864566,91.1904053974543,572.479418502034,569.518222736436,575.440614267633,3793.359864
1,3,0.012500001,13,698.7879639,0.032701112,94.0971756,1432.659912,0.703132391,657.7871094,0.032144006,97.19151306,1448.75,0.810060144,620.3302002,0.031948883,99.79677582,1451.799927,0.748170257,97.0692377605991,658.793370975067,655.844153797963,661.742588152172,4333.209839
1,3,0.013500001,14,741.7265625,0.032701112,96.20767975,1753.219971,0.827898622,704.3397217,0.032144006,101.1905823,1747.839966,0.841937959,653.7598267,0.031948883,90.53016663,1689.309937,0.822297156,96.1357814364933,700.506129147679,697.837329923344,703.174928372013,5190.369874
1,3,0.014500001,15,778.6967773,0.032701112,93.93636322,1847.97998,0.809929788,790.956543,0.032144006,92.72637177,1973.079956,0.825350165,761.2634277,0.031948883,95.34046173,1819.319946,0.822887301,93.9720733355642,777.362231960427,774.859728843028,779.864735077826,5640.379882
1,3,0.015500001,16,888.0178223,0.032701112,101.7259445,1923.019897,0.819657624,936.7687988,0.032144006,379.3895569,2093.429932,0.889813483,804.1571045,0.031948883,94.94580078,1993.039917,0.831767678,237.577230654636,877.188116721808,871.058744270602,883.317489173014,6009.489746
1,3,0.016500001,17,911.9572754,0.032701112,98.2353363,1933.669922,0.82145083,909.6697388,0.032144006,98.05504608,2135.129883,0.829132676,898.3359375,0.031948883,108.0634079,1995.849976,0.822835326,101.513374459419,906.669198457059,904.062142234509,909.276254679608,6064.649781
1,3,0.017500001,18,1070.362061,0.032701112,144.8178253,1737.01001,0.840040982,1001.358643,0.032144006,136.0202484,1982.619995,0.856661797,977.7327881,0.031948883,132.9187775,1865.880005,0.811644673,137.808518145405,1014.92528550813,1011.23742367927,1018.61314733699,5585.51001
1,3,0.018500001,19,1097.477295,0.032701112,183.7603302,1471.609985,0.85554564,1077.667725,0.032144006,127.5778656,1670.77002,0.823684454,1165.744019,0.031948883,151.8622589,1596.140015,0.832485199,154.899966429866,1113.48778221627,1108.98729057544,1117.98827385711,4738.52002
1,3,0.019500001,20,1186.213989,0.032701112,185.1346283,1175.809937,0.835805833,1171.681274,0.032144006,166.4120789,1347.280029,0.821464539,1117.52417,0.031948883,156.733551,1312.959961,0.813223064,169.232947226329,1157.59949730911,1152.13471598639,1163.06427863182,3836.049927
1,3,0.020500001,21,1127.911011,0.032701112,180.2688141,806.9400024,0.813207924,1173.748779,0.032144006,185.9120178,999.8099976,0.828210414,1143.374512,0.031948883,175.6199188,917.5299683,0.815250337,180.826072747816,1149.9415236473,1143.01260954579,1156.8704377488,2724.2799683
1,3,0.021500001,22,1267.417603,0.032701112,244.1579285,576.9799805,0.804521859,1275.422485,0.032144006,245.3388519,669.4299927,0.826661408,1270.822754,0.031948883,241.1616821,649.3800049,0.795610488,243.55515649987,1271.41063237527,1260.22315389537,1282.59811085516,1895.7899781
1,3,0.022500001,23,1400.31665,0.032701112,383.6476135,357.6699829,0.82063055,1427.976196,0.032144006,423.0507507,446.1699829,0.831817925,1378.974976,0.031948883,340.0236511,416.3199768,0.821726143,384.758482540199,1403.1489786322,1381.11921601966,1425.17874124473,1220.1599426
