"Locus","Parameter.number","Age","Bin","Parameter.value.x","Parameter.Frequency.x","Standard.deviation.x","Counts.per.bin.x","Autocorrelation.per.bin.x","Parameter.value.y","Parameter.Frequency.y","Standard.deviation.y","Counts.per.bin.y","Autocorrelation.per.bin.y","Parameter.value","Parameter.Frequency","Standard.deviation","Counts.per.bin","Autocorrelation.per.bin","PoolSD","PoolMean","Lower","Upper","Total.n"
1,2,5e-04,1,0.012467633,0.000106694,4.04e-05,232777.0938,0.017008832,0.011566616,0.000100046,3.72e-05,237075.75,0.016714463,0.01100621,0.000100328,3.61878e-05,231179.7188,0.019606698,3.79710154331998e-05,0.011680992451977,0.0116809017507607,0.0116810831531934,701032.5626
1,2,0.0015,2,0.009274367,0.000776889,9.51e-05,33357.4375,0.161517039,0.008426725,0.000756641,9.29e-05,30778.49023,0.1711348,0.008050832,0.000742785,8.75233e-05,31491.59961,0.158201918,9.19522827942003e-05,0.00859861790199599,0.00859802319773804,0.00859921260625394,95627.52734
1,2,0.0025,3,0.010924558,0.001842081,0.000141,25440.90039,0.221554145,0.009631385,0.001782062,0.000121,27929.92969,0.214670762,0.009751342,0.001765593,0.000125,26808.92969,0.205170646,0.000128967633399842,0.010081815437338,0.0100809045212953,0.0100827263533807,80179.75977
1,2,0.0035,4,0.011865697,0.003152035,0.000139071,31150.05859,0.216593891,0.010213492,0.003036232,0.000118702,32286.18945,0.222239211,0.010833627,0.00299658,0.00013,31613.96875,0.219704688,0.000129404225244213,0.0109612147665929,0.0109603753029401,0.0109620542302457,95050.21679
1,2,0.0045,5,0.012377382,0.004775642,0.000153869,30280.50977,0.25936982,0.011282709,0.004636975,0.000151306,28827.75,0.287256509,0.01130592,0.004547076,0.000148299,29633.71875,0.268660039,0.000151193758728103,0.0116639838518981,0.0116629687741538,0.0116649989296425,88741.97852
1,2,0.0055,6,0.013149513,0.006765758,0.000187855,25478.85938,0.327682942,0.012037416,0.006644299,0.000179031,23378.54883,0.332957596,0.012257032,0.006471139,0.000216923,24267.43945,0.372700989,0.000195343828171421,0.0124977859308708,0.0124963411659016,0.01249923069584,73124.84766
1,2,0.0065,7,0.014470072,0.009148295,0.000244877,21236.43945,0.400138617,0.01335696,0.008933889,0.000243327,18645.44922,0.399861634,0.012610111,0.00880648,0.000221555,19986.5293,0.403993309,0.000236849127877183,0.01350247271711,0.0135005367280691,0.013504408706151,59868.41797
1,2,0.0075,8,0.015948966,0.012090822,0.000293425,18608.75977,0.430215269,0.015110341,0.011913229,0.000314819,16832.16016,0.434756488,0.014305699,0.011776851,0.000264747,17657.76953,0.441906154,0.000291376190870893,0.0151366615775165,0.0151341326163765,0.0151391905386565,53098.68946
1,2,0.0085,9,0.017290328,0.014982819,0.000338283,17728.53906,0.475277752,0.015903229,0.01473742,0.000342181,16154.5293,0.469634324,0.01620248,0.015178595,0.000329829,17143.99023,0.479659528,0.000336715662096631,0.0164856963387646,0.0164827151254914,0.0164886775520378,51027.05859
1,2,0.009500001,10,0.018696886,0.017980618,0.000379446,16483.37891,0.494137853,0.016832566,0.017320165,0.000365542,15565.19922,0.499938488,0.017007027,0.017974326,0.000336581,16984.86914,0.507159412,0.000360637522016215,0.0175197192005285,0.0175164619235309,0.0175229764775261,49033.44727
