Antartic.Year,Antarctic.Temp
88,0.9
97,1.8
105,3
114,0.4
123,-0.4
132,0.1
141,0.1
150,-0.5
160,0.8
169,-0.6
179,-1.1
190,0.4
200,-0.4
211,1.1
221,0.3
231,-0.7
241,-1.2
252,0.5
262,-2.44
273,0.42
284,0.84
295,0.71
305,-0.02
317,-0.14
328,-1.41
339,-0.34
351,0.16
362,-1.22
374,-0.41
386,-0.59
397,0.03
409,-0.67
421,-0.9
433,-1.53
445,-0.47
457,-0.12
469,0.21
480,-1.73
492,0.16
504,0.14
516,-0.56
528,-0.8
540,0.42
553,-2.36
566,-0.85
579,-0.36
592,1.26
605,0.7
618,-0.77
631,1.4
644,-0.87
656,-0.81
669,1.46
682,0.98
695,0.27
708,-0.96
722,-0.61
737,-0.63
751,-0.49
765,-0.96
779,-1.44
794,-0.91
809,-0.1
822,-0.16
836,0.32
849,0.03
862,0.56
875,0.94
887,1.17
899,1.5
912,-1.03
925,0.59
939,-1.41
953,0.92
967,-1.03
982,-0.67
997,-0.55
1011,-0.75
1026,0.38
1040,-0.4
1055,-0.44
1069,-0.95
1082,0.14
1097,0.99
1111,0.36
1125,-0.75
1139,-0.8
1154,0.72
1168,-0.54
1183,1.55
1197,-0.9
1211,-0.34
1224,0.93
1238,1.03
1251,0.88
1265,-0.54
1279,0.58
1294,0.37
1308,0.27
1323,-0.16
1337,-0.3
1352,1.23
1366,0.22
1380,0.89
1395,-0.17
1409,1.55
1423,0.89
1437,-0.17
1451,-0.02
1466,-0.48
1482,-0.7
1498,-0.45
1513,1.04
1529,-0.93
1544,-0.32
1560,-0.54
1575,-0.27
1591,0.9
1606,-0.92
1622,0.04
1638,0.24
1654,-1.15
1671,-0.84
1687,0.73
1704,-1.24
1720,0.42
1736,0.35
1752,-0.81
1770,-0.56
1787,-0.11
1804,0.1
1821,0.55
1837,-1.41
1854,0.25
1872,-1.04
1889,-0.99
1906,0.35
1923,-1.06
1939,1.79
1955,0
1972,0.01
1988,-0.38
2006,0.18
2023,-0.3
2040,-0.73
2057,-1.08
2075,-0.02
2094,-0.92
2111,1.62
2128,-0.7
2145,-0.74
2163,0.44
2180,-0.64
2197,-0.34
2215,-1.02
2234,-0.48
2252,-0.46
2269,
2287,0.86
2303,0.3
2321,-0.35
2339,0.17
2356,-2.05
2377,-1.41
2397,-0.63
2417,-0.83
2435,-0.94
2455,-1.97
2474,-0.78
2493,0
2513,-0.65
2531,-0.63
2550,0.16
2568,-0.45
2585,0.92
2603,-0.11
2621,0.51
2639,-0.77
2657,0.37
2675,0.85
2692,0.09
2709,-0.19
2728,-0.56
2747,-0.2
2765,-0.88
2783,1.29
2800,0.89
2817,0.81
2834,0.91
2851,0.01
2868,1.32
2885,1.12
2902,1.12
2920,0.04
2938,-0.64
2956,-1
2974,0.57
2993,0.29
3011,-0.34
3030,-0.91
3050,-0.01
3069,-0.51
3087,0.1
3106,0.15
3124,-0.03
3142,0.63
3160,
3179,1.27
3197,-1.46
3215,-0.91
3236,-1.3
3257,0.62
3277,-0.82
3297,-1.76
3317,0.47
3337,-0.74
3357,-1.05
3376,0.7
3396,-0.71
3415,-1.44
3435,-0.01
3455,-0.28
3475,-0.44
3495,-0.18
3515,-0.02
3534,0.46
3553,-1.04
3572,1.35
3591,0.15
3609,-0.29
3628,0.16
3648,-0.67
3668,0.92
3686,0.77
3704,0.17
3722,0.62
3741,1.03
3759,-1.02
3777,1.36
3796,1.26
3814,-1.57
3833,1.07
3852,0.08
3872,0.26
3892,-0.7
3911,-0.92
3931,0.72
3950,-0.12
3970,-0.52
3990,-0.19
4010,-0.41
4030,0.4
4049,-0.56
4069,-0.59
4088,0.78
4107,0.81
4126,-1.16
4145,0.89
4165,0.82
4184,-0.59
4204,-0.42
4223,0.06
4243,0.5
4262,-1.57
4281,0.67
4300,1.31
4319,-0.2
4338,1.36
4357,-0.48
4376,-1.03
4397,0
4417,0.29
4437,0.04
4456,-0.32
4476,-0.9
4495,0.35
4515,1.33
4534,-0.39
4553,0.78
4571,-0.7
4592,-0.4
4612,-0.8
4632,0.01
4652,0.16
4672,0.27
4692,-0.56
4711,-0.01
4731,-0.16
4751,-0.38
4771,0.94
4791,-0.76
4810,-1.21
4831,-0.28
4851,-0.37
4871,-1.16
4892,-0.32
4913,0.67
4932,0.25
4951,-0.16
4970,-0.03
4989,0.37
5008,0.98
5028,-0.5
5047,-0.66
5068,-0.32
5087,-0.29
5107,0.36
5127,-0.95
5147,-0.24
5168,-0.13
5187,0.25
5206,0.56
5225,0.58
5243,0.26
5262,-0.47
5282,-0.17
5303,-1.38
5323,-0.26
5343,0.69
5362,-0.21
5382,0.68
5401,-0.26
5420,0.03
5439,0.54
5459,-2.14
5480,-1.08
5503,-1.28
5524,-0.06
5545,-1.3
5566,-2.19
5589,-0.82
5611,0
5630,1.23
5648,-0.26
5667,0.1
5687,-0.75
5707,-0.1
5727,-0.24
5747,-0.97
5767,0.57
5786,-0.77
5806,1.38
5824,-0.72
5843,0.91
5861,1.01
5881,-0.98
5900,0.29
5918,0.57
5937,0.32
5955,-0.54
5976,-0.89
5996,-0.71
6017,-1.54
6039,-0.5
6059,0.45
6078,-0.02
6097,-0.4
6117,-0.8
6137,0.06
6157,0.49
6177,-1.52
6197,0.8
6216,-0.93
6236,-0.51
6255,-0.71
6275,0.03
6295,-0.68
6315,-1.23
6336,0.27
6356,-0.19
6376,-1.3
6396,-1.55
6417,-0.38
6438,-1.37
6459,-0.76
6480,-0.47
6499,0.79
6518,-0.14
6537,-1.78
6559,-1.34
6581,0.81
6600,-0.48
6620,-1.27
6640,-0.71
6662,-2.27
6683,-0.22
6704,-1.5
6725,-2
6745,0.6
6765,0.23
6785,-0.28
6805,-1.47
6825,-1.31
6847,-1.2
6868,-1.07
6888,-0.59
6908,0.75
6927,-0.25
6945,0.99
6963,-0.73
6983,-0.8
7003,-1.23
7024,-0.49
7044,-0.29
7063,-1.44
7084,-0.94
7106,-0.66
7126,-1.11
7147,-1.16
7168,-0.39
7189,-1.91
7210,-3
7233,-1.32
7256,-0.93
7278,-1.82
7299,-1.56
7320,-1.43
7342,-0.4
7361,0.88
7380,-0.81
7399,-2.1
7421,-1.04
7442,-1.84
7464,-1.69
7486,-0.24
7507,-1.53
7528,-1.77
7548,-0.93
7569,0.03
7589,-0.93
7607,0.7
7626,-0.71
7645,0.83
7664,-1.14
7683,-1.71
7705,-0.82
7726,-0.46
